review_id,current_plan_start,days_subscribed,date_reviewed,pay_freq,level,rating,first_level
41173,2022-08-29,53,2022-10-21,Yearly,Standard,3,Standard
90716,2022-11-29,10,2022-12-09,,Free,1,Free
56845,2022-08-18,37,2022-09-24,Yearly,Premium,5,Premium
86192,2022-02-02,29,2022-03-03,Yearly,Standard,3,Standard
81540,2022-01-11,553,2023-07-18,,Free,4,Free
23805,2022-01-07,18,2022-01-25,Yearly,Premium,5,Premium
22347,2022-09-29,625,2024-06-15,,Free,4,Free
38986,2022-05-12,159,2022-10-18,Yearly,Standard,2,Free
34516,2022-09-26,648,2024-07-05,,Free,5,Standard
75859,2022-10-16,2,2022-10-18,,Free,5,Free
11619,2022-03-09,108,2022-06-25,Monthly,Standard,5,Standard
12254,2022-01-14,641,2023-10-17,Yearly,Premium,2,Premium
68875,2022-08-20,190,2023-02-26,,Free,5,Standard
66612,2022-02-20,2,2022-02-22,,Free,1,Free
34717,2022-05-21,390,2023-06-15,,Free,3,Free
84037,2022-03-30,17,2022-04-16,,Free,4,Free
93322,2022-12-14,770,2025-01-22,Yearly,Standard,2,Standard
47956,2022-12-12,1,2022-12-13,Yearly,Standard,1,Standard
75785,2022-12-16,70,2023-02-24,,Free,2,Free
75687,2022-09-02,10,2022-09-12,,Free,1,Premium
68278,2022-03-08,271,2022-12-04,,Free,5,Free
65009,2022-05-06,660,2024-02-25,,Free,3,Free
80383,2022-03-14,301,2023-01-09,,Free,4,Free
97176,2022-08-18,701,2024-07-19,Yearly,Standard,1,Standard
78624,2022-01-08,543,2023-07-05,Yearly,Standard,3,Standard
65914,2022-10-28,281,2023-08-05,,Free,4,Free
26467,2022-09-23,509,2024-02-14,Yearly,Premium,1,Free
45808,2022-08-07,596,2024-03-25,Yearly,Standard,5,Free
64674,2022-02-09,635,2023-11-06,Yearly,Standard,2,Standard
29196,2022-11-15,20,2022-12-05,Yearly,Premium,2,Free
17549,2022-09-24,110,2023-01-12,,Free,4,Standard
22988,2022-05-04,127,2022-09-08,Monthly,Standard,3,Free
79107,2022-09-01,169,2023-02-17,Monthly,Standard,2,Premium
59182,2022-11-21,152,2023-04-22,,Free,4,Free
94124,2022-01-02,25,2022-01-27,,Free,5,Free
32133,2022-03-15,35,2022-04-19,,Free,3,Free
57977,2022-05-16,234,2023-01-05,,Free,4,Free
42586,2022-04-15,21,2022-05-06,,Free,5,Free
76129,2022-04-15,780,2024-06-03,,Free,4,Free
10053,2022-03-19,127,2022-07-24,,Free,5,Free
30071,2022-12-09,0,2022-12-09,,Free,4,Free
93667,2022-07-09,13,2022-07-22,,Free,4,Free
92721,2022-01-29,83,2022-04-22,,Free,4,Free
10036,2022-04-08,5,2022-04-13,,Free,3,Free
82263,2022-10-28,101,2023-02-06,,Free,1,Free
62176,2022-12-26,26,2023-01-21,,Free,5,Free
87212,2022-08-23,26,2022-09-18,,Free,2,Free
10680,2022-06-02,247,2023-02-04,Yearly,Premium,1,Free
22121,2022-04-20,558,2023-10-30,,Free,4,Premium
60135,2022-05-27,666,2024-03-23,,Free,4,Free
66087,2022-05-08,0,2022-05-08,,Free,5,Free
63157,2022-12-31,224,2023-08-12,Yearly,Standard,1,Free
35605,2022-06-07,269,2023-03-03,,Free,4,Free
23432,2022-08-03,472,2023-11-18,,Free,5,Premium
82506,2022-04-19,22,2022-05-11,Yearly,Premium,4,Free
45376,2022-03-29,454,2023-06-26,Yearly,Standard,3,Standard
55370,2022-05-14,218,2022-12-18,,Free,4,Free
95300,2022-05-23,10,2022-06-02,,Free,5,Free
11138,2022-04-24,735,2024-04-28,Monthly,Standard,4,Free
76288,2022-05-09,26,2022-06-04,Yearly,Premium,2,Free
14233,2022-04-06,1,2022-04-07,Monthly,Standard,4,Free
36563,2022-12-21,507,2024-05-11,,Free,1,Free
87841,2022-05-29,123,2022-09-29,,Free,4,Free
54266,2022-09-19,255,2023-06-01,,Free,4,Standard
22767,2022-11-02,63,2023-01-04,,Free,4,Free
22016,2022-11-30,225,2023-07-13,,Free,5,Free
46602,2022-09-22,3,2022-09-25,Yearly,Premium,5,Premium
11906,2022-04-04,285,2023-01-14,,Free,5,Free
36097,2022-08-03,482,2023-11-28,,Free,4,Free
78918,2022-06-06,142,2022-10-26,,Free,4,Free
74063,2022-10-02,233,2023-05-23,Yearly,Premium,5,Free
44843,2022-04-02,450,2023-06-26,Yearly,Premium,5,Premium
61115,2022-12-05,0,2022-12-05,,Free,4,Free
23982,2022-12-07,0,2022-12-07,,Free,4,Standard
55728,2022-01-12,479,2023-05-06,Yearly,Standard,1,Standard
96662,2022-05-31,8,2022-06-08,,Free,5,Free
38391,2022-12-13,31,2023-01-13,Monthly,Premium,4,Premium
89512,2022-01-29,578,2023-08-30,Yearly,Standard,3,Standard
22447,2022-05-16,512,2023-10-10,Monthly,Premium,3,Free
16630,2022-02-13,215,2022-09-16,Yearly,Standard,5,Standard
24596,2022-05-17,351,2023-05-03,Yearly,Standard,2,Standard
70247,2022-03-29,108,2022-07-15,Yearly,Standard,4,Standard
75903,2022-02-21,1,2022-02-22,,Free,5,Free
67431,2022-01-17,667,2023-11-15,,Free,4,Free
55521,2022-08-20,512,2024-01-14,Yearly,Standard,3,Standard
81169,2022-10-14,213,2023-05-15,Yearly,Standard,4,Free
83745,2022-04-28,2,2022-04-30,Yearly,Standard,3,Free
42582,2022-03-31,348,2023-03-14,,Free,2,Free
92704,2022-11-29,608,2024-07-29,Monthly,Standard,4,Free
76940,2022-12-14,0,2022-12-14,Yearly,Premium,1,Free
78639,2022-02-19,0,2022-02-19,,Free,5,Free
42816,2022-07-31,282,2023-05-09,Yearly,Premium,5,Standard
16382,2022-11-12,122,2023-03-14,,Free,2,Free
65899,2022-11-06,354,2023-10-26,Yearly,Premium,4,Free
97763,2022-05-23,489,2023-09-24,Yearly,Standard,3,Standard
44846,2022-04-17,20,2022-05-07,Yearly,Premium,5,Premium
12829,2022-01-10,646,2023-10-18,Yearly,Premium,4,Premium
86622,2022-11-07,83,2023-01-29,,Free,2,Free
48206,2022-03-12,154,2022-08-13,Yearly,Premium,3,Premium
94983,2022-05-08,32,2022-06-09,,Free,4,Free
19772,2022-03-03,1,2022-03-04,,Free,3,Free
82038,2022-09-11,1,2022-09-12,,Free,4,Free
77075,2022-12-05,39,2023-01-13,Monthly,Standard,4,Premium
70098,2022-06-23,3,2022-06-26,Yearly,Standard,2,Free
48481,2022-08-27,179,2023-02-22,,Free,4,Premium
79658,2022-09-18,200,2023-04-06,,Free,4,Free
52245,2022-04-06,20,2022-04-26,Yearly,Standard,3,Free
30911,2022-03-18,181,2022-09-15,,Free,4,Free
82981,2022-12-29,131,2023-05-09,,Free,1,Free
48129,2022-06-10,51,2022-07-31,,Free,5,Premium
50039,2022-03-26,1,2022-03-27,Yearly,Standard,4,Standard
49538,2022-06-03,764,2024-07-06,,Free,2,Free
81697,2022-06-26,246,2023-02-27,,Free,5,Free
24868,2022-06-21,215,2023-01-22,Yearly,Standard,1,Free
62813,2022-09-13,778,2024-10-30,Monthly,Premium,2,Free
13665,2022-12-19,440,2024-03-03,,Free,4,Free
72840,2022-08-25,75,2022-11-08,Yearly,Standard,2,Free
13540,2022-07-06,0,2022-07-06,Monthly,Standard,3,Free
23459,2022-07-20,313,2023-05-29,,Free,5,Free
50121,2022-02-10,79,2022-04-30,,Free,4,Free
36499,2022-04-04,202,2022-10-23,,Free,5,Free
99966,2022-12-10,308,2023-10-14,,Free,4,Free
52862,2022-07-28,15,2022-08-12,,Free,2,Premium
65888,2022-05-16,218,2022-12-20,,Free,5,Free
54478,2022-07-12,79,2022-09-29,Yearly,Standard,2,Standard
28437,2022-01-27,14,2022-02-10,,Free,4,Free
25250,2022-04-15,777,2024-05-31,,Free,4,Standard
37106,2022-02-12,264,2022-11-03,,Free,4,Free
52623,2022-03-25,450,2023-06-18,Monthly,Premium,5,Premium
30605,2022-05-05,496,2023-09-13,,Free,5,Premium
74906,2022-02-23,326,2023-01-15,,Free,5,Free
84530,2022-09-27,160,2023-03-06,Yearly,Standard,3,Standard
33153,2022-12-09,88,2023-03-07,Yearly,Standard,5,Standard
38217,2022-02-28,197,2022-09-13,,Free,3,Free
92490,2022-07-06,62,2022-09-06,,Free,3,Free
97804,2022-09-23,658,2024-07-12,,Free,5,Free
79090,2022-11-18,283,2023-08-28,Yearly,Standard,1,Free
70314,2022-03-01,711,2024-02-10,Monthly,Premium,1,Premium
35541,2022-04-02,85,2022-06-26,,Free,4,Free
97192,2022-08-29,0,2022-08-29,,Free,4,Free
75121,2022-07-16,290,2023-05-02,,Free,4,Premium
49329,2022-11-03,65,2023-01-07,Yearly,Standard,3,Standard
19264,2022-08-24,309,2023-06-29,,Free,4,Free
23336,2022-05-16,1,2022-05-17,,Free,3,Free
66849,2022-09-01,499,2024-01-13,Monthly,Standard,2,Standard
50340,2022-08-10,681,2024-06-21,Yearly,Standard,2,Premium
66041,2022-02-18,351,2023-02-04,Yearly,Premium,5,Premium
37781,2022-12-29,74,2023-03-13,,Free,4,Free
19630,2022-05-24,688,2024-04-11,Yearly,Premium,2,Premium
48599,2022-12-18,92,2023-03-20,,Free,3,Free
40911,2022-08-09,11,2022-08-20,Yearly,Premium,3,Premium
86072,2022-07-24,226,2023-03-07,,Free,2,Free
86052,2022-10-03,110,2023-01-21,,Free,4,Free
30029,2022-07-25,71,2022-10-04,Monthly,Standard,4,Free
91408,2022-10-13,563,2024-04-28,,Free,1,Standard
24181,2022-03-17,109,2022-07-04,,Free,4,Premium
13920,2022-01-04,647,2023-10-13,,Free,4,Premium
17054,2022-11-03,11,2022-11-14,Yearly,Standard,4,Standard
39262,2022-09-22,638,2024-06-21,,Free,4,Premium
74041,2022-01-25,574,2023-08-22,Yearly,Standard,4,Standard
83583,2022-05-12,43,2022-06-24,,Free,4,Free
50620,2022-06-14,762,2024-07-15,,Free,5,Free
24126,2022-03-31,772,2024-05-11,,Free,4,Free
11045,2022-12-26,189,2023-07-03,Yearly,Standard,4,Free
32126,2022-12-15,331,2023-11-11,,Free,2,Free
37495,2022-10-15,535,2024-04-02,,Free,2,Free
79725,2022-07-31,372,2023-08-07,,Free,2,Free
32415,2022-09-16,82,2022-12-07,,Free,4,Free
55180,2022-02-20,310,2022-12-27,Monthly,Standard,2,Standard
16163,2022-04-25,233,2022-12-14,,Free,4,Standard
35070,2022-03-14,11,2022-03-25,,Free,5,Free
40268,2022-01-26,136,2022-06-11,,Free,2,Free
16629,2022-08-30,3,2022-09-02,Monthly,Premium,5,Free
78381,2022-08-13,0,2022-08-13,Yearly,Premium,3,Free
89740,2022-12-09,117,2023-04-05,,Free,1,Standard
94810,2022-11-20,2,2022-11-22,Yearly,Standard,3,Free
62809,2022-02-26,12,2022-03-10,Yearly,Standard,4,Standard
59833,2022-05-30,1,2022-05-31,,Free,4,Standard
83926,2022-10-02,453,2023-12-29,,Free,5,Free
56482,2022-08-15,2,2022-08-17,,Free,4,Free
47266,2022-09-16,236,2023-05-10,,Free,4,Free
32389,2022-08-26,3,2022-08-29,,Free,5,Free
80707,2022-02-16,685,2024-01-02,,Free,4,Free
23521,2022-03-19,576,2023-10-16,,Free,5,Free
42372,2022-01-08,348,2022-12-22,,Free,4,Premium
23969,2022-08-11,17,2022-08-28,,Free,2,Free
38472,2022-04-01,0,2022-04-01,,Free,5,Free
68101,2022-01-27,183,2022-07-29,,Free,4,Free
74912,2022-08-15,205,2023-03-08,,Free,4,Free
63346,2022-05-14,272,2023-02-10,,Free,4,Free
28184,2022-12-19,601,2024-08-11,Yearly,Standard,2,Free
59298,2022-07-20,12,2022-08-01,Yearly,Standard,5,Standard
11465,2022-06-21,401,2023-07-27,Yearly,Standard,4,Free
79161,2022-06-12,706,2024-05-18,,Free,5,Standard
39320,2022-06-24,246,2023-02-25,Yearly,Premium,5,Standard
36114,2022-07-06,285,2023-04-17,Yearly,Premium,4,Free
97588,2022-10-01,9,2022-10-10,Yearly,Standard,4,Premium
61544,2022-01-06,245,2022-09-08,Yearly,Standard,3,Standard
92463,2022-12-12,378,2023-12-25,Yearly,Standard,3,Free
96469,2022-06-02,188,2022-12-07,,Free,5,Free
32816,2022-07-09,347,2023-06-21,,Free,4,Free
36928,2022-08-31,276,2023-06-03,Yearly,Standard,4,Standard
52882,2022-12-06,121,2023-04-06,,Free,5,Free
40217,2022-01-27,674,2023-12-02,,Free,3,Free
51594,2022-06-30,708,2024-06-07,,Free,4,Free
20506,2022-11-29,308,2023-10-03,,Free,5,Free
85569,2022-08-31,739,2024-09-08,,Free,4,Premium
50541,2022-04-09,216,2022-11-11,,Free,4,Free
29814,2022-10-04,733,2024-10-06,,Free,5,Free
36790,2022-02-01,461,2023-05-08,Yearly,Standard,3,Standard
99508,2022-11-10,2,2022-11-12,Monthly,Premium,5,Standard
59051,2022-06-22,255,2023-03-04,Yearly,Standard,2,Free
36379,2022-04-09,224,2022-11-19,Monthly,Standard,3,Standard
76990,2022-07-13,226,2023-02-24,,Free,4,Free
30743,2022-10-05,2,2022-10-07,,Free,3,Free
75534,2022-07-23,672,2024-05-25,,Free,5,Standard
70918,2022-01-15,599,2023-09-06,Yearly,Standard,3,Standard
31845,2022-11-15,728,2024-11-12,,Free,4,Free
10638,2022-07-24,181,2023-01-21,Monthly,Standard,3,Free
21726,2022-05-25,168,2022-11-09,Monthly,Standard,1,Standard
60697,2022-05-24,193,2022-12-03,Yearly,Standard,2,Standard
22503,2022-01-13,446,2023-04-04,Monthly,Premium,1,Premium
49872,2022-06-03,712,2024-05-15,Yearly,Premium,3,Free
49709,2022-09-04,56,2022-10-30,,Free,2,Free
96810,2022-07-06,292,2023-04-24,,Free,2,Free
98935,2022-01-13,0,2022-01-13,,Free,4,Free
39285,2022-05-02,3,2022-05-05,Yearly,Standard,4,Standard
16799,2022-06-27,5,2022-07-02,Yearly,Standard,4,Free
94343,2022-12-24,20,2023-01-13,Yearly,Standard,2,Standard
51864,2022-12-23,412,2024-02-08,,Free,5,Free
22342,2022-01-17,505,2023-06-06,Monthly,Premium,5,Premium
39010,2022-11-08,138,2023-03-26,,Free,4,Standard
37712,2022-02-24,363,2023-02-22,Yearly,Standard,2,Standard
31091,2022-03-22,302,2023-01-18,Monthly,Standard,5,Standard
75862,2022-11-07,264,2023-07-29,Yearly,Premium,2,Premium
97288,2022-06-13,66,2022-08-18,,Free,4,Free
92971,2022-08-29,32,2022-09-30,,Free,3,Standard
66394,2022-09-23,50,2022-11-12,,Free,5,Premium
64456,2022-04-05,626,2023-12-22,Yearly,Standard,3,Free
80620,2022-04-18,3,2022-04-21,,Free,2,Free
61848,2022-02-08,114,2022-06-02,,Free,2,Free
73489,2022-12-25,442,2024-03-11,,Free,4,Free
95966,2022-02-16,466,2023-05-28,,Free,4,Free
74936,2022-11-19,191,2023-05-29,,Free,5,Free
18571,2022-06-28,199,2023-01-13,Monthly,Standard,1,Standard
57864,2022-05-17,199,2022-12-02,,Free,4,Premium
33199,2022-09-07,326,2023-07-30,Yearly,Premium,5,Premium
94964,2022-07-21,116,2022-11-14,,Free,1,Free
21820,2022-02-02,0,2022-02-02,Yearly,Standard,2,Standard
17954,2022-01-03,116,2022-04-29,Monthly,Premium,5,Premium
54307,2022-06-13,244,2023-02-12,,Free,3,Standard
34264,2022-06-28,77,2022-09-13,,Free,4,Free
45514,2022-11-29,524,2024-05-06,,Free,4,Free
73584,2022-01-21,455,2023-04-21,Yearly,Standard,2,Standard
71161,2022-04-10,250,2022-12-16,,Free,3,Free
20180,2022-08-31,490,2024-01-03,,Free,4,Premium
30214,2022-08-24,35,2022-09-28,Monthly,Standard,4,Standard
19703,2022-09-16,304,2023-07-17,,Free,5,Free
67906,2022-04-13,51,2022-06-03,,Free,4,Free
22390,2022-04-28,149,2022-09-24,Yearly,Premium,4,Standard
29133,2022-05-16,2,2022-05-18,,Free,5,Free
62720,2022-08-26,40,2022-10-05,,Free,4,Free
83901,2022-02-19,227,2022-10-04,Yearly,Premium,4,Premium
23663,2022-08-11,56,2022-10-06,,Free,3,Free
14112,2022-08-20,120,2022-12-18,,Free,5,Free
71569,2022-09-18,355,2023-09-08,Yearly,Premium,5,Standard
19454,2022-09-15,22,2022-10-07,Yearly,Standard,3,Standard
18726,2022-01-13,385,2023-02-02,Monthly,Standard,5,Free
38875,2022-02-04,60,2022-04-05,,Free,5,Free
24618,2022-04-13,735,2024-04-17,Yearly,Premium,4,Premium
48292,2022-01-24,577,2023-08-24,,Free,4,Free
71132,2022-05-19,1,2022-05-20,,Free,4,Standard
48476,2022-08-23,4,2022-08-27,Yearly,Standard,3,Premium
87684,2022-08-30,27,2022-09-26,Monthly,Premium,4,Free
17868,2022-02-02,207,2022-08-28,,Free,4,Free
23232,2022-04-10,449,2023-07-03,Yearly,Premium,5,Free
27351,2022-08-05,178,2023-01-30,Yearly,Premium,5,Free
78288,2022-03-23,487,2023-07-23,,Free,4,Free
88219,2022-07-02,505,2023-11-19,,Free,4,Free
58557,2022-08-10,273,2023-05-10,,Free,5,Standard
11531,2022-10-01,391,2023-10-27,,Free,4,Free
96237,2022-05-02,205,2022-11-23,Yearly,Standard,2,Free
48627,2022-07-01,284,2023-04-11,Yearly,Standard,2,Free
47105,2022-04-11,81,2022-07-01,Yearly,Premium,4,Free
98502,2022-07-09,49,2022-08-27,,Free,5,Free
78258,2022-04-23,315,2023-03-04,,Free,5,Free
43367,2022-07-25,298,2023-05-19,,Free,1,Free
44116,2022-05-04,51,2022-06-24,Monthly,Premium,5,Standard
20727,2022-06-07,343,2023-05-16,,Free,4,Free
87345,2022-02-06,44,2022-03-22,,Free,5,Free
71524,2022-10-30,2,2022-11-01,,Free,4,Free
27857,2022-08-11,64,2022-10-14,Yearly,Standard,2,Free
45302,2022-03-24,365,2023-03-24,,Free,4,Free
21531,2022-03-01,337,2023-02-01,Yearly,Standard,4,Standard
25529,2022-04-19,120,2022-08-17,Yearly,Standard,3,Standard
15307,2022-07-18,5,2022-07-23,,Free,4,Free
99503,2022-04-21,612,2023-12-24,Yearly,Standard,5,Standard
51737,2022-07-23,5,2022-07-28,,Free,5,Premium
65888,2022-05-30,2,2022-06-01,,Free,4,Standard
53186,2022-01-17,146,2022-06-12,,Free,5,Free
11262,2022-06-13,485,2023-10-11,,Free,5,Standard
92098,2022-06-25,132,2022-11-04,,Free,4,Free
91694,2022-07-01,97,2022-10-06,,Free,3,Free
57934,2022-08-30,578,2024-03-30,Yearly,Standard,3,Standard
57679,2022-05-17,80,2022-08-05,Monthly,Premium,5,Free
88175,2022-01-27,15,2022-02-11,,Free,5,Free
93820,2022-03-08,642,2023-12-10,Yearly,Standard,5,Standard
43264,2022-02-02,53,2022-03-27,,Free,4,Free
10246,2022-04-20,186,2022-10-23,Yearly,Standard,4,Free
50696,2022-08-26,759,2024-09-23,,Free,5,Free
99843,2022-12-05,396,2024-01-05,Yearly,Premium,5,Premium
64336,2022-08-19,632,2024-05-12,,Free,4,Free
68997,2022-08-13,25,2022-09-07,,Free,4,Free
63008,2022-12-18,1,2022-12-19,Yearly,Premium,4,Free
51241,2022-03-14,44,2022-04-27,,Free,5,Free
79314,2022-08-20,28,2022-09-17,,Free,4,Free
58767,2022-07-28,154,2022-12-29,Monthly,Premium,5,Premium
11249,2022-12-10,1,2022-12-11,Yearly,Standard,4,Premium
26652,2022-05-23,402,2023-06-29,,Free,4,Free
