country,product_category,brand,year_of_manufacture,product_age,repair_status,year_repaired
deu,printer/scanner,unknown,,,fixed,2017
deu,small home electrical,unknown,,,unknown,2017
deu,decorative or safety lights,unknown,,,fixed,2017
deu,vacuum,unknown,,,fixed,2017
deu,food processor,unknown,,,fixed,2017
deu,portable radio,unknown,,,fixed,2017
deu,handheld entertainment device,unknown,,,fixed,2017
deu,battery/charger/adapter,unknown,,,fixed,2017
deu,portable radio,unknown,,,repairable,2017
deu,battery/charger/adapter,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,hair dryer,unknown,,,fixed,2018
deu,hair & beauty item,unknown,,,fixed,2018
deu,sewing machine,bernina,,,repairable,2018
deu,coffee maker,unknown,,,fixed,2018
deu,laptop,medion,,,end of life,2018
deu,lamp,unknown,,,end of life,2018
deu,digital compact camera,unknown,,,fixed,2018
deu,hair & beauty item,easy home (aldi),,,fixed,2018
deu,small home electrical,unknown,,,fixed,2018
deu,small kitchen item,unknown,,,end of life,2018
deu,lamp,unknown,,,repairable,2018
deu,handheld entertainment device,unknown,2016.0,2.0,unknown,2018
deu,hi-fi integrated,unknown,,,unknown,2018
deu,coffee maker,krups,,,unknown,2018
deu,lamp,unknown,,,fixed,2018
deu,vacuum,miele,,,unknown,2018
deu,lamp,unknown,,,unknown,2018
deu,toy,unknown,,,unknown,2018
deu,misc,unknown,,,fixed,2018
deu,watch/clock,unknown,,,unknown,2018
deu,decorative or safety lights,unknown,,,unknown,2018
deu,misc,unknown,,,fixed,2018
deu,vacuum,unknown,,,fixed,2018
deu,sewing machine,privileg,1973.0,45.0,fixed,2018
deu,paper shredder,unknown,,,repairable,2018
deu,lamp,unknown,,,fixed,2018
deu,hi-fi integrated,onkyo,1988.0,30.0,unknown,2018
deu,coffee maker,krups,2011.0,7.0,unknown,2018
deu,hi-fi integrated,auna,2014.0,4.0,fixed,2018
deu,battery/charger/adapter,ifa,1980.0,38.0,fixed,2018
deu,lamp,unknown,2015.0,3.0,fixed,2018
deu,misc,unknown,2016.0,2.0,fixed,2018
deu,small home electrical,unknown,2017.0,1.0,unknown,2018
deu,misc,unknown,2016.0,2.0,fixed,2018
deu,digital compact camera,casio,2006.0,12.0,unknown,2018
deu,sewing machine,unknown,,,fixed,2018
deu,portable radio,unknown,1998.0,20.0,fixed,2018
deu,toaster,unknown,2009.0,9.0,fixed,2018
deu,iron,unknown,,,fixed,2018
deu,vacuum,unknown,2013.0,5.0,fixed,2018
deu,misc,unknown,,,end of life,2018
deu,power tool,unknown,1998.0,20.0,end of life,2018
deu,hair & beauty item,unknown,,,fixed,2018
deu,handheld entertainment device,unknown,1993.0,25.0,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,digital compact camera,unknown,,,unknown,2018
deu,vacuum,unknown,,,fixed,2018
deu,toy,unknown,,,fixed,2018
deu,misc,unknown,,,end of life,2018
deu,watch/clock,unknown,,,fixed,2018
deu,flat screen,unknown,,,end of life,2018
deu,food processor,siemens,2017.0,1.0,fixed,2018
deu,handheld entertainment device,sony,2008.0,10.0,unknown,2018
deu,lamp,unknown,,,fixed,2018
deu,vacuum,dyson,2013.0,5.0,unknown,2018
deu,watch/clock,unknown,,,fixed,2018
deu,sewing machine,textima,2003.0,15.0,fixed,2018
deu,portable radio,unknown,2008.0,10.0,fixed,2018
deu,handheld entertainment device,unknown,2008.0,10.0,repairable,2018
deu,mobile,zte,2015.0,3.0,fixed,2018
deu,small home electrical,aeg,,,fixed,2018
deu,small kitchen item,unknown,,,end of life,2018
deu,tablet,unknown,,,end of life,2018
deu,misc,unknown,,,fixed,2018
deu,vacuum,unknown,,,end of life,2018
deu,coffee maker,unknown,,,fixed,2018
deu,watch/clock,unknown,,,fixed,2018
deu,small home electrical,leifheit,,,repairable,2018
deu,handheld entertainment device,lg electronics,,,repairable,2018
deu,watch/clock,unknown,,,repairable,2018
deu,food processor,braun,,,fixed,2018
deu,power tool,aeg,,,fixed,2018
deu,food processor,moulinex,,,end of life,2018
deu,coffee maker,melitta,,,end of life,2018
deu,handheld entertainment device,philips,,,unknown,2018
deu,dslr/video camera,telefunken,,,fixed,2018
deu,food processor,krups,,,fixed,2018
deu,small kitchen item,unknown,,,fixed,2018
deu,hair & beauty item,unknown,,,end of life,2018
deu,vacuum,vorwerk,,,fixed,2018
deu,vacuum,acculux,,,end of life,2018
deu,watch/clock,accucell,,,fixed,2018
deu,coffee maker,aeg,,,unknown,2018
deu,coffee maker,nestlé,,,repairable,2018
deu,flat screen,apple,,,fixed,2018
deu,flat screen,unknown,,,repairable,2018
deu,tv and gaming-related accessories,tevion,,,end of life,2018
deu,toy,unknown,,,fixed,2018
deu,hair & beauty item,unknown,,,fixed,2018
deu,hi-fi separates,logitech,,,repairable,2018
deu,small home electrical,unknown,,,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,tv and gaming-related accessories,unknown,,,fixed,2018
deu,misc,unknown,,,end of life,2018
deu,vacuum,unknown,,,fixed,2018
deu,sewing machine,unknown,,,repairable,2018
deu,sewing machine,unknown,,,end of life,2018
deu,hair & beauty item,comair,,,fixed,2018
deu,headphones,unknown,,,unknown,2018
deu,decorative or safety lights,homebase,,,repairable,2018
deu,misc,unknown,,,end of life,2018
deu,hair & beauty item,unknown,,,fixed,2018
deu,tv and gaming-related accessories,panasonic,,,unknown,2018
deu,coffee maker,senseo®,,,fixed,2018
deu,food processor,krups,,,fixed,2018
deu,small home electrical,black & decker,,,fixed,2018
deu,vacuum,miele,,,fixed,2018
deu,misc,merlin,,,end of life,2018
deu,vacuum,vorwerk,,,fixed,2018
deu,food processor,bosch,,,end of life,2018
deu,sewing machine,privileg,,,unknown,2018
deu,portable radio,denver,,,fixed,2018
deu,laptop,samsung,,,unknown,2018
deu,iron,unknown,,,fixed,2018
deu,portable radio,saba,,,fixed,2018
deu,desktop computer,medion,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,small kitchen item,moulinex,,,end of life,2018
deu,portable radio,unknown,,,repairable,2018
deu,flat screen,kendo,,,repairable,2018
deu,sewing machine,unknown,,,unknown,2018
deu,vacuum,severin,,,fixed,2018
deu,portable radio,panasonic,,,end of life,2018
deu,mobile,huawei,,,repairable,2018
deu,misc,unknown,,,repairable,2018
deu,vacuum,dyson,,,end of life,2018
deu,misc,unknown,,,end of life,2018
deu,coffee maker,krups,,,repairable,2018
deu,misc,hit company,,,end of life,2018
deu,food processor,braun,,,fixed,2018
deu,coffee maker,krups,,,fixed,2018
deu,iron,krups,,,end of life,2018
deu,coffee maker,delonghi,,,unknown,2018
deu,hair dryer,grundig,,,end of life,2018
deu,misc,bosch,,,repairable,2018
deu,food processor,oskar,,,fixed,2018
deu,hi-fi separates,watson,,,repairable,2018
deu,lamp,unknown,,,fixed,2018
deu,vacuum,black & decker,,,repairable,2018
deu,lamp,unknown,,,repairable,2018
deu,lamp,unknown,,,fixed,2018
deu,handheld entertainment device,yamaha,,,repairable,2018
deu,kettle,unknown,,,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,vacuum,unknown,,,fixed,2018
deu,power tool,dremel,,,repairable,2018
deu,kettle,unknown,,,end of life,2018
deu,watch/clock,unknown,,,repairable,2018
deu,lamp,unknown,,,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,sewing machine,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,iron,unknown,,,repairable,2018
deu,hair dryer,unknown,,,fixed,2018
deu,decorative or safety lights,unknown,,,fixed,2017
deu,misc,unknown,,,unknown,2017
deu,power tool,unknown,,,fixed,2017
deu,food processor,unknown,,,fixed,2017
deu,digital compact camera,unknown,,,fixed,2017
deu,food processor,unknown,,,fixed,2017
deu,toaster,unknown,,,fixed,2017
deu,toaster,unknown,,,end of life,2017
deu,digital compact camera,unknown,,,repairable,2018
deu,food processor,unknown,,,repairable,2017
deu,headphones,unknown,,,repairable,2017
deu,misc,unknown,,,repairable,2017
deu,hi-fi separates,unknown,,,fixed,2017
deu,food processor,unknown,,,fixed,2017
deu,misc,unknown,,,fixed,2017
deu,handheld entertainment device,unknown,,,unknown,2017
deu,small home electrical,unknown,,,fixed,2018
deu,small kitchen item,unknown,,,repairable,2018
deu,misc,unknown,,,fixed,2018
deu,large home electrical,unknown,,,repairable,2018
deu,coffee maker,unknown,,,fixed,2018
deu,lamp,unknown,,,repairable,2018
deu,coffee maker,unknown,,,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,vacuum,unknown,,,fixed,2018
deu,handheld entertainment device,unknown,,,fixed,2018
deu,hair dryer,unknown,,,unknown,2018
deu,watch/clock,unknown,,,fixed,2018
deu,toaster,unknown,,,fixed,2018
deu,kettle,unknown,,,unknown,2018
deu,hi-fi separates,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,laptop,unknown,,,repairable,2018
deu,sewing machine,singer,2003.0,15.0,end of life,2018
deu,misc,unknown,2006.0,12.0,fixed,2018
deu,food processor,unknown,,,end of life,2018
deu,vacuum,bosch,,,fixed,2018
deu,small kitchen item,unknown,,,fixed,2018
deu,portable radio,unknown,,,fixed,2018
deu,decorative or safety lights,unknown,,,repairable,2018
deu,battery/charger/adapter,unknown,2015.0,3.0,fixed,2018
deu,watch/clock,unknown,2015.0,3.0,fixed,2018
deu,small kitchen item,braun,2003.0,15.0,fixed,2018
deu,watch/clock,unknown,,,fixed,2018
deu,small kitchen item,krups,2009.0,9.0,fixed,2018
deu,hi-fi separates,dual,2003.0,15.0,fixed,2018
deu,coffee maker,delonghi,2012.0,6.0,fixed,2018
deu,hair & beauty item,unknown,,,fixed,2018
deu,iron,bosch,2005.0,13.0,fixed,2018
deu,decorative or safety lights,unknown,,,fixed,2018
deu,power tool,unknown,,,repairable,2018
deu,power tool,kress,2008.0,10.0,repairable,2018
deu,food processor,quigg,2017.0,1.0,fixed,2018
deu,laptop,lenovo,,,repairable,2018
deu,laptop,lenovo,2013.0,5.0,fixed,2018
deu,kettle,severin,2015.0,3.0,unknown,2018
deu,power tool,bosch,2014.0,4.0,fixed,2018
deu,laptop,hp,2004.0,14.0,fixed,2018
deu,laptop,hp,2013.0,5.0,repairable,2018
deu,laptop,toshiba,,,fixed,2018
deu,coffee maker,rowenta,2003.0,15.0,end of life,2018
deu,portable radio,itt,1973.0,45.0,repairable,2018
deu,laptop,asus,2011.0,7.0,unknown,2018
deu,laptop,hp,2010.0,8.0,end of life,2018
deu,small kitchen item,unknown,2010.0,8.0,repairable,2018
deu,tablet,archos,2012.0,6.0,unknown,2018
deu,musical instrument,unknown,,,fixed,2018
deu,food processor,siemens,,,end of life,2018
deu,portable radio,grundig,,,end of life,2018
deu,portable radio,unknown,,,fixed,2018
deu,hi-fi separates,rft,,,fixed,2018
deu,headphones,unknown,,,fixed,2018
deu,coffee maker,rommelsbacher,2013.0,5.0,fixed,2018
deu,laptop,lenovo,,,end of life,2018
deu,hi-fi separates,ulm series,1978.0,40.0,fixed,2018
deu,printer/scanner,lexmark,2007.0,11.0,fixed,2018
deu,power tool,smalcalda,1988.0,30.0,repairable,2018
deu,decorative or safety lights,unknown,,,end of life,2018
deu,kettle,russell hobbs,,,end of life,2018
deu,power tool,rev,,,fixed,2018
deu,misc,florabest,2011.0,7.0,repairable,2018
deu,misc,florabest,2012.0,6.0,fixed,2018
deu,tv and gaming-related accessories,muvid,,,fixed,2018
deu,hi-fi separates,kenwood,1973.0,45.0,repairable,2018
deu,flat screen,unknown,,,end of life,2018
deu,food processor,aka,1988.0,30.0,fixed,2018
deu,decorative or safety lights,unknown,2013.0,5.0,fixed,2018
deu,portable radio,stern,1988.0,30.0,unknown,2018
deu,mobile,siemens,,,fixed,2018
deu,mobile,siemens,,,fixed,2018
deu,mobile,philips,,,end of life,2018
deu,misc,unknown,,,repairable,2018
deu,laptop,hp,2013.0,5.0,fixed,2018
deu,kettle,unknown,,,fixed,2018
deu,lamp,unknown,2017.0,1.0,fixed,2018
deu,hi-fi integrated,rft,1978.0,40.0,unknown,2018
deu,laptop,fujitsu,,,repairable,2018
deu,power tool,black & decker,1988.0,30.0,repairable,2018
deu,small kitchen item,unknown,1938.0,80.0,fixed,2018
deu,small home electrical,delonghi,1984.0,34.0,fixed,2018
deu,hi-fi separates,unknown,1996.0,22.0,fixed,2018
deu,printer/scanner,brother,,,unknown,2018
deu,dslr/video camera,unknown,,,fixed,2018
deu,hair dryer,unknown,,,fixed,2018
deu,lamp,unknown,,,unknown,2018
deu,food processor,braun,,,fixed,2018
deu,musical instrument,unknown,,,fixed,2018
deu,sewing machine,unknown,,,fixed,2018
deu,vacuum,unknown,,,fixed,2018
deu,coffee maker,bosch,,,fixed,2018
deu,misc,bosch,2015.0,3.0,fixed,2018
deu,portable radio,unknown,2009.0,9.0,unknown,2018
deu,desktop computer,unknown,,,unknown,2018
deu,sewing machine,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,watch/clock,unknown,,,unknown,2018
deu,watch/clock,unknown,,,fixed,2018
deu,misc,philips,,,unknown,2018
deu,handheld entertainment device,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,misc,grundig,,,end of life,2018
deu,lamp,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,toaster,unknown,,,end of life,2018
deu,coffee maker,unknown,,,fixed,2017
deu,misc,delonghi,2014.0,3.0,fixed,2017
deu,toy,unknown,2017.0,0.0,end of life,2017
deu,toaster,tchibo,2014.0,3.0,unknown,2017
deu,toy,unknown,2015.0,2.0,unknown,2017
deu,toy,dickie,2016.0,1.0,fixed,2017
deu,lamp,unknown,2014.0,3.0,fixed,2017
deu,hair & beauty item,braun,2012.0,5.0,unknown,2017
deu,handheld entertainment device,teac,2010.0,7.0,unknown,2017
deu,hair dryer,remington,,,fixed,2017
deu,hi-fi integrated,philips,2015.0,2.0,unknown,2017
deu,misc,unknown,2015.0,2.0,fixed,2017
deu,toaster,manufactum,2008.0,9.0,fixed,2017
deu,lamp,magazin,2015.0,2.0,fixed,2017
deu,coffee maker,nespresso,,,unknown,2017
deu,small kitchen item,unknown,,,end of life,2018
deu,flat screen,unknown,,,end of life,2018
deu,vacuum,unknown,,,fixed,2018
deu,handheld entertainment device,unknown,,,fixed,2018
deu,power tool,unknown,,,fixed,2018
deu,vacuum,unknown,,,unknown,2018
deu,coffee maker,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,sewing machine,unknown,,,fixed,2018
deu,power tool,unknown,,,fixed,2018
deu,power tool,unknown,,,end of life,2018
deu,digital compact camera,unknown,,,unknown,2018
deu,hi-fi separates,unknown,,,end of life,2018
deu,portable radio,unknown,,,end of life,2018
deu,small home electrical,unknown,,,unknown,2018
deu,hi-fi separates,unknown,,,unknown,2018
deu,portable radio,unknown,,,fixed,2018
deu,tv and gaming-related accessories,unknown,,,fixed,2018
deu,vacuum,unknown,,,end of life,2018
deu,lamp,unknown,,,fixed,2018
deu,hair & beauty item,unknown,,,end of life,2018
deu,digital compact camera,unknown,,,unknown,2018
deu,lamp,unknown,,,fixed,2018
deu,hair & beauty item,unknown,,,end of life,2018
deu,vacuum,unknown,,,unknown,2018
deu,hi-fi separates,unknown,,,end of life,2018
deu,small kitchen item,unknown,,,unknown,2018
deu,vacuum,unknown,,,fixed,2018
deu,portable radio,unknown,,,fixed,2018
deu,dslr/video camera,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,food processor,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,misc,ipoint,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,headphones,unknown,,,fixed,2018
deu,hi-fi integrated,rft,1988.0,30.0,fixed,2018
deu,watch/clock,unknown,,,fixed,2018
deu,hi-fi integrated,sony,1983.0,35.0,fixed,2018
deu,flat screen,unknown,2008.0,10.0,repairable,2018
deu,hi-fi integrated,teufel,2009.0,9.0,fixed,2018
deu,laptop,toshiba,2012.0,6.0,fixed,2018
deu,laptop,unknown,,,fixed,2018
deu,handheld entertainment device,watson,1998.0,20.0,unknown,2018
deu,toy,unknown,,,fixed,2018
deu,vacuum,siemens,,,unknown,2018
deu,headphones,steelseries,2014.0,4.0,fixed,2018
deu,hi-fi separates,bose,2014.0,4.0,fixed,2018
deu,hi-fi separates,bose,2014.0,4.0,repairable,2018
deu,sewing machine,tesco,2016.0,2.0,fixed,2018
deu,digital compact camera,panasonic,2012.0,6.0,fixed,2018
deu,hi-fi separates,unknown,,,end of life,2018
deu,laptop,unknown,,,fixed,2018
deu,power tool,unknown,,,repairable,2018
deu,misc,unknown,,,fixed,2018
deu,laptop,unknown,,,end of life,2018
deu,laptop,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,sewing machine,medion,,,fixed,2018
deu,misc,unknown,2018.0,0.0,fixed,2018
deu,hi-fi separates,unknown,2008.0,10.0,fixed,2018
deu,mobile,samsung,2014.0,4.0,end of life,2018
deu,power tool,multimax,1978.0,40.0,end of life,2018
deu,power tool,unknown,2003.0,15.0,fixed,2018
deu,dslr/video camera,toshiba,,,unknown,2018
deu,toaster,klarstein,,,repairable,2018
deu,handheld entertainment device,unknown,2008.0,10.0,repairable,2018
deu,laptop,unknown,,,fixed,2018
deu,tablet,samsung,2015.0,3.0,repairable,2018
deu,small home electrical,unknown,,,repairable,2018
deu,handheld entertainment device,seg,2010.0,8.0,unknown,2018
deu,small home electrical,unknown,,,fixed,2018
deu,toaster,klarstein,2016.0,2.0,fixed,2018
deu,handheld entertainment device,unknown,2008.0,10.0,fixed,2018
deu,toy,ravensburger,2012.0,6.0,repairable,2018
deu,misc,unknown,2008.0,10.0,fixed,2018
deu,small home electrical,ignis,,,repairable,2018
deu,handheld entertainment device,unknown,2008.0,10.0,end of life,2018
deu,decorative or safety lights,unknown,,,fixed,2018
deu,hi-fi integrated,dual,2016.0,2.0,fixed,2018
deu,lamp,ikea,2013.0,5.0,fixed,2018
deu,hi-fi separates,rft,1978.0,40.0,repairable,2018
deu,headphones,sennheiser,2012.0,6.0,fixed,2018
deu,small home electrical,philips,2014.0,4.0,fixed,2018
deu,hi-fi integrated,unknown,,,end of life,2018
deu,toy,unknown,,,repairable,2018
deu,vacuum,siemens,2013.0,5.0,fixed,2018
deu,flat screen,unknown,,,repairable,2018
deu,hi-fi integrated,unknown,2013.0,5.0,fixed,2018
deu,hi-fi separates,jbl,2015.0,3.0,unknown,2018
deu,lamp,unknown,1988.0,30.0,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,misc,unknown,,,fixed,2018
deu,laptop,unknown,,,repairable,2018
deu,power tool,unknown,,,fixed,2018
deu,headphones,akg,2014.0,4.0,fixed,2018
deu,hi-fi integrated,philips,2003.0,15.0,repairable,2018
deu,laptop,asus,2013.0,5.0,fixed,2018
deu,lamp,vossloh,2006.0,12.0,repairable,2018
deu,desktop computer,unknown,,,fixed,2018
deu,musical instrument,yamaha,2003.0,15.0,fixed,2018
deu,power tool,unknown,,,fixed,2018
deu,laptop,unknown,,,fixed,2018
deu,lamp,unknown,,,fixed,2018
deu,small home electrical,unknown,,,fixed,2018
deu,decorative or safety lights,unknown,,,fixed,2018
deu,printer/scanner,unknown,,,fixed,2018
deu,mobile,unknown,,,fixed,2018
deu,sewing machine,unknown,,,unknown,2018
deu,decorative or safety lights,unknown,,,fixed,2018
deu,battery/charger/adapter,unknown,,,fixed,2018
deu,battery/charger/adapter,unknown,,,fixed,2018
deu,hi-fi integrated,philips,2003.0,15.0,unknown,2018
deu,mobile,apple,2016.0,2.0,repairable,2018
deu,hi-fi separates,unknown,,,repairable,2018
deu,tablet,unknown,,,repairable,2018
deu,hi-fi separates,unknown,,,repairable,2018
deu,printer/scanner,brother,2014.0,5.0,unknown,2019
deu,portable radio,stern,,,fixed,2019
deu,tv and gaming-related accessories,bosch,,,fixed,2019
deu,toy,unknown,,,fixed,2019
deu,power tool,unknown,,,fixed,2019
deu,tv and gaming-related accessories,panasonic,,,fixed,2019
deu,power tool,unknown,,,unknown,2019
deu,hi-fi separates,unknown,,,fixed,2019
deu,kettle,unknown,,,fixed,2019
deu,lamp,unknown,,,fixed,2019
deu,lamp,unknown,,,fixed,2019
deu,coffee maker,unknown,,,fixed,2019
deu,coffee maker,unknown,,,end of life,2019
deu,power tool,unknown,,,end of life,2019
deu,flat screen,telefunken,,,unknown,2019
deu,vacuum,unknown,,,end of life,2019
deu,power tool,bosch,,,end of life,2019
deu,dslr/video camera,philips,,,unknown,2019
deu,dslr/video camera,unknown,,,unknown,2019
deu,projector,epson,,,end of life,2019
deu,food processor,gastroback,,,repairable,2019
deu,hi-fi separates,teufel,2013.0,6.0,repairable,2019
deu,headphones,sony,2016.0,3.0,fixed,2019
deu,mobile,samsung,2017.0,2.0,fixed,2019
deu,decorative or safety lights,unknown,2017.0,2.0,fixed,2019
deu,vacuum,hoover,2009.0,10.0,fixed,2019
deu,power tool,unknown,2016.0,3.0,repairable,2019
deu,hi-fi separates,ziphona,,,fixed,2019
deu,toaster,unknown,,,fixed,2019
deu,portable radio,unknown,,,repairable,2019
deu,small kitchen item,unknown,2009.0,10.0,unknown,2019
deu,vacuum,unknown,2007.0,12.0,unknown,2019
deu,food processor,braun,2005.0,14.0,repairable,2019
deu,laptop,lenovo,2016.0,3.0,repairable,2019
deu,laptop,msi,2015.0,4.0,repairable,2019
deu,toaster,tcm,,,end of life,2019
deu,food processor,quigg,,,end of life,2019
deu,portable radio,medion,2012.0,7.0,fixed,2019
deu,hi-fi separates,thomson,2009.0,10.0,fixed,2019
deu,laptop,lenovo,2014.0,5.0,unknown,2019
deu,food processor,unknown,2014.0,5.0,end of life,2019
deu,vacuum,dirt devil,2015.0,4.0,fixed,2019
deu,lamp,unknown,,,fixed,2019
deu,power tool,black & decker,1999.0,20.0,repairable,2019
deu,kettle,unknown,,,end of life,2019
deu,lamp,unknown,,,fixed,2019
deu,portable radio,unknown,1979.0,40.0,fixed,2019
deu,hi-fi integrated,condor,1989.0,30.0,repairable,2019
deu,hi-fi separates,unknown,2004.0,15.0,repairable,2019
deu,food processor,bamix,2013.0,6.0,end of life,2019
deu,watch/clock,unknown,2009.0,10.0,unknown,2019
deu,large home electrical,unknown,2014.0,5.0,repairable,2019
deu,toaster,unknown,2014.0,5.0,end of life,2019
deu,hi-fi separates,dual,2009.0,10.0,fixed,2019
deu,food processor,unknown,2013.0,6.0,fixed,2019
deu,food processor,unold,2007.0,12.0,repairable,2019
deu,printer/scanner,unknown,,,unknown,2019
deu,lamp,unknown,,,fixed,2019
deu,small home electrical,philips,2014.0,5.0,unknown,2019
deu,desktop computer,medion,,,repairable,2019
deu,hair dryer,bosch,2014.0,5.0,fixed,2019
deu,hi-fi integrated,samsung,2012.0,7.0,fixed,2019
deu,hi-fi separates,yamaha,,,unknown,2019
deu,portable radio,unknown,,,unknown,2019
deu,hi-fi separates,grundig,1960.0,59.0,fixed,2019
deu,watch/clock,unknown,2018.0,1.0,fixed,2019
deu,handheld entertainment device,pioneer,2009.0,10.0,fixed,2019
deu,sewing machine,unknown,1969.0,50.0,fixed,2019
deu,hair dryer,bosch,2017.0,2.0,fixed,2019
deu,toy,unknown,,,fixed,2019
deu,hi-fi separates,unknown,,,unknown,2019
deu,lamp,unknown,,,fixed,2019
deu,toaster,siemens,2013.0,6.0,fixed,2019
deu,sewing machine,gritzner,1989.0,30.0,fixed,2019
deu,hi-fi integrated,sony,,,unknown,2019
deu,sewing machine,pfaff,1965.0,54.0,repairable,2019
deu,tablet,unknown,,,repairable,2019
deu,lamp,unknown,1939.0,80.0,fixed,2019
deu,food processor,unknown,2011.0,8.0,fixed,2019
deu,toy,unknown,2019.0,0.0,fixed,2019
deu,kettle,russell hobbs,2016.0,3.0,unknown,2019
deu,power tool,kavo,1970.0,49.0,fixed,2019
deu,lamp,unknown,,,unknown,2019
deu,vacuum,unknown,2016.0,3.0,unknown,2019
deu,kettle,clatronic,,,unknown,2019
deu,handheld entertainment device,philips,,,repairable,2019
deu,hi-fi separates,philips,,,repairable,2019
deu,misc,unknown,,,fixed,2019
deu,food processor,unknown,,,fixed,2019
deu,small home electrical,unknown,,,fixed,2019
deu,small kitchen item,unknown,1999.0,20.0,fixed,2019
deu,mobile,unknown,,,fixed,2019
deu,watch/clock,unknown,1929.0,90.0,fixed,2019
deu,laptop,unknown,,,fixed,2019
deu,small home electrical,unknown,,,repairable,2019
deu,portable radio,unknown,,,fixed,2019
deu,portable radio,unknown,,,end of life,2019
deu,portable radio,sony,2016.0,3.0,end of life,2019
deu,tv and gaming-related accessories,unknown,,,end of life,2019
deu,hair dryer,philips,,,fixed,2019
deu,small home electrical,fakir,,,unknown,2019
deu,sewing machine,singer,1979.0,40.0,fixed,2019
deu,small home electrical,unknown,2009.0,10.0,fixed,2019
deu,small home electrical,unknown,,,fixed,2019
deu,large home electrical,severin,2007.0,12.0,fixed,2019
deu,misc,samson,2013.0,6.0,fixed,2019
deu,toy,unknown,,,fixed,2019
deu,mobile,unknown,,,fixed,2019
deu,mobile,samsung,,,repairable,2019
deu,handheld entertainment device,medion,,,fixed,2019
deu,coffee maker,unknown,,,fixed,2019
deu,toy,lego,1979.0,40.0,fixed,2019
deu,food processor,philips,,,fixed,2019
deu,sewing machine,privileg,1989.0,30.0,fixed,2019
deu,handheld entertainment device,onkyo,1999.0,20.0,end of life,2019
deu,lamp,unknown,,,end of life,2019
deu,toaster,wmf,2016.0,3.0,fixed,2019
deu,sewing machine,pfaff,1989.0,30.0,fixed,2019
