problem,brand,repair_status,event_year,age
integrated pointing device,apple,repairable,2018,3.0
integrated screen,hp,end of life,2019,3.0
configuration,hp,fixed,2018,3.0
unknown,acer,repairable,2017,3.0
unknown,sony,repairable,2017,3.0
integrated screen,toshiba,fixed,2019,3.0
configuration,toshiba,repairable,2019,3.0
unknown,toshiba,fixed,2017,3.0
unknown,asus,fixed,2018,3.0
configuration,unknown,repairable,2020,3.0
ports/slots/connectors,apple,repairable,2019,3.0
integrated screen,apple,repairable,2018,3.0
integrated keyboard,acer,repairable,2020,3.0
integrated screen,apple,repairable,2019,3.0
ports/slots/connectors,acer,end of life,2019,3.0
other,unknown,repairable,2019,3.0
internal storage,asus,fixed,2019,3.0
system board,apple,repairable,2019,3.0
integrated screen,hp,fixed,2019,3.0
unknown,lenovo,end of life,2018,3.0
case/chassis,asus,repairable,2018,3.0
unknown,packard bell,repairable,2019,3.0
configuration,hp,repairable,2018,3.0
power/battery,msi,fixed,2019,3.0
configuration,unknown,fixed,2020,3.0
integrated keyboard,toshiba,fixed,2020,3.0
configuration,lenovo,end of life,2019,3.0
unknown,hp,end of life,2020,3.0
operating system,hp,fixed,2020,3.0
configuration,samsung,fixed,2020,3.0
internal storage,apple,end of life,2019,3.0
system board,acer,repairable,2020,3.0
configuration,unknown,fixed,2020,3.0
configuration,unknown,fixed,2020,3.0
configuration,unknown,fixed,2020,3.0
configuration,unknown,fixed,2020,3.0
power/battery,acer,fixed,2018,3.0
unknown,lenovo,repairable,2019,3.0
unknown,asus,fixed,2018,3.0
overheating,hp,fixed,2017,3.0
configuration,unknown,fixed,2017,3.0
unknown,hp,repairable,2017,3.0
boot,hp,repairable,2018,3.0
unknown,acer,fixed,2017,3.0
unknown,lenovo,repairable,2019,3.0
integrated screen,lenovo,fixed,2018,3.0
system board,sony,fixed,2018,3.0
power/battery,asus,repairable,2018,3.0
power/battery,asus,repairable,2018,3.0
unknown,acer,fixed,2018,3.0
internal storage,asus,repairable,2018,3.0
internal damage,asus,fixed,2017,3.0
unknown,hp,fixed,2019,3.0
performance,lenovo,fixed,2018,3.0
ports/slots/connectors,compaq,end of life,2019,3.0
configuration,hp,fixed,2019,3.0
unknown,fujitsu technology solutions,repairable,2019,3.0
other,hp,repairable,2019,4.0
unknown,asus,repairable,2017,4.0
configuration,hp,fixed,2019,4.0
case/chassis,dell,repairable,2019,4.0
unknown,samsung,end of life,2017,4.0
power/battery,apple,repairable,2019,4.0
integrated screen,apple,fixed,2019,4.0
power/battery,apple,repairable,2019,4.0
integrated screen,hp,repairable,2019,4.0
ports/slots/connectors,apple,fixed,2019,4.0
unknown,acer,end of life,2018,4.0
operating system,acer,repairable,2017,4.0
power/battery,apple,repairable,2019,4.0
integrated screen,toshiba,repairable,2019,4.0
virus/malware,samsung,fixed,2019,4.0
unknown,acer,fixed,2018,4.0
unknown,apple,fixed,2019,4.0
configuration,acer,fixed,2019,4.0
integrated screen,clementoni,end of life,2019,4.0
configuration,hp,repairable,2018,4.0
integrated screen,sony,repairable,2017,4.0
unknown,acer,repairable,2017,4.0
boot,unknown,repairable,2019,4.0
configuration,hp,fixed,2017,4.0
virus/malware,hp,fixed,2019,4.0
power/battery,toshiba,fixed,2020,4.0
operating system,packard bell,fixed,2019,4.0
power/battery,hp,repairable,2019,4.0
power/battery,hp,fixed,2019,4.0
unknown,acer,end of life,2018,4.0
unknown,acer,fixed,2018,4.0
system board,acer,repairable,2018,4.0
performance,lenovo,fixed,2019,4.0
integrated screen,lenovo,fixed,2019,4.0
case/chassis,asus,fixed,2017,4.0
integrated screen,apple macbook pro,repairable,2019,4.0
system board,unknown,end of life,2019,4.0
integrated screen,lenovo,repairable,2018,4.0
integrated screen,asus,fixed,2019,4.0
unknown,lenovo,repairable,2018,4.0
integrated screen,lenovo,repairable,2019,4.0
unknown,hp,repairable,2018,4.0
internal storage,unknown,fixed,2019,4.0
internal storage,unknown,fixed,2019,4.0
internal damage,acer,repairable,2018,4.0
unknown,microsoft,end of life,2018,4.0
boot,apple,fixed,2019,4.0
boot,apple,fixed,2019,4.0
boot,apple,fixed,2019,4.0
power/battery,erazer,fixed,2018,4.0
power/battery,apple,fixed,2018,4.0
power/battery,apple,fixed,2018,4.0
integrated screen,apple,repairable,2019,4.0
integrated screen,apple,repairable,2019,4.0
unknown,toshiba,end of life,2018,4.0
power/battery,toshiba,end of life,2019,4.0
configuration,apple,fixed,2019,4.0
power/battery,apple,fixed,2019,4.0
virus/malware,apple,fixed,2019,4.0
internal damage,msi,repairable,2019,4.0
boot,medion,fixed,2019,4.0
other,acer,fixed,2018,4.0
unknown,asus,end of life,2019,4.0
unknown,fusion 5,end of life,2019,4.0
operating system,samsung,fixed,2019,4.0
operating system,acer,repairable,2019,4.0
operating system,hp,fixed,2019,4.0
internal storage,apple,fixed,2019,4.0
performance,sony,fixed,2019,4.0
configuration,acer,fixed,2019,4.0
performance,lenovo,repairable,2019,4.0
internal damage,toshiba,end of life,2019,4.0
performance,hp,repairable,2019,4.0
unknown,asus,repairable,2019,4.0
integrated keyboard,asus,fixed,2019,4.0
integrated media component,lenovo,repairable,2019,4.0
overheating,hp,fixed,2020,4.0
unknown,lenovo,fixed,2020,4.0
unknown,apple,end of life,2019,4.0
power/battery,apple,repairable,2019,4.0
unknown,apple,repairable,2019,4.0
performance,lenovo,end of life,2019,4.0
internal damage,apple,fixed,2020,4.0
performance,hp,fixed,2019,4.0
unknown,toshiba,fixed,2017,4.0
boot,toshiba,end of life,2019,4.0
power/battery,toshiba,repairable,2019,4.0
performance,samsung,fixed,2019,4.0
internal storage,toshiba,fixed,2020,4.0
power/battery,apple,repairable,2019,4.0
configuration,lenovo,fixed,2019,4.0
unknown,hp,fixed,2019,4.0
operating system,hp,repairable,2019,4.0
virus/malware,acer,repairable,2019,4.0
power/battery,lenovo,fixed,2019,4.0
configuration,hp,fixed,2019,4.0
case/chassis,hp,end of life,2019,4.0
virus/malware,toshiba,fixed,2020,4.0
ports/slots/connectors,apple,repairable,2020,4.0
case/chassis,lenovo,unknown,2019,4.0
performance,sony,fixed,2020,4.0
virus/malware,toshiba,fixed,2019,4.0
overheating,hp,repairable,2019,4.0
integrated screen,apple,end of life,2019,5.0
operating system,compaq,repairable,2018,5.0
ports/slots/connectors,samsung,repairable,2019,5.0
integrated keyboard,hp,repairable,2018,5.0
operating system,asus,fixed,2018,5.0
configuration,samsung,repairable,2018,5.0
integrated keyboard,asus,repairable,2019,5.0
configuration,sony,fixed,2020,5.0
boot,acer,fixed,2018,5.0
configuration,unknown,fixed,2019,5.0
integrated optical drive,hp,fixed,2019,5.0
unknown,hp,repairable,2019,5.0
system board,apple,repairable,2019,5.0
integrated screen,apple,repairable,2019,5.0
power/battery,lenovo,repairable,2019,5.0
operating system,asus,repairable,2018,5.0
power/battery,dell,end of life,2019,5.0
operating system,asus,repairable,2018,5.0
integrated keyboard,toshiba,repairable,2018,5.0
integrated media component,hp,repairable,2018,5.0
operating system,acer,fixed,2019,5.0
case/chassis,hp,fixed,2019,5.0
performance,toshiba,fixed,2018,5.0
integrated screen,samsung,fixed,2019,5.0
internal storage,asus,repairable,2018,5.0
performance,toshiba,fixed,2018,5.0
integrated keyboard,unknown,repairable,2019,5.0
operating system,acer,unknown,2019,5.0
power/battery,apple,repairable,2018,5.0
multiple,dell,end of life,2018,5.0
power/battery,acer,repairable,2018,5.0
integrated screen,toshiba,fixed,2019,5.0
internal storage,hp,end of life,2018,5.0
internal damage,apple,end of life,2019,5.0
ports/slots/connectors,unknown,repairable,2018,5.0
configuration,unknown,repairable,2017,5.0
power/battery,dell,repairable,2019,5.0
ports/slots/connectors,apple,repairable,2019,5.0
virus/malware,toshiba,fixed,2019,5.0
unknown,samsung,end of life,2017,5.0
configuration,hp,repairable,2017,5.0
boot,sony,repairable,2019,5.0
boot,sony,repairable,2019,5.0
unknown,acer,end of life,2019,5.0
integrated keyboard,hp,fixed,2019,5.0
multiple,dell,fixed,2020,5.0
boot,unknown,fixed,2020,5.0
operating system,asus,fixed,2020,5.0
operating system,toshiba,repairable,2019,5.0
multiple,unknown,fixed,2020,5.0
configuration,asus,fixed,2019,5.0
internal storage,hp,repairable,2020,5.0
virus/malware,acer,fixed,2019,5.0
boot,acer,repairable,2019,5.0
power/battery,hp,repairable,2019,5.0
performance,hp,repairable,2019,5.0
power/battery,hp,repairable,2019,5.0
system board,apple,repairable,2019,5.0
unknown,acer,repairable,2020,5.0
boot,apple,repairable,2019,5.0
boot,acer,end of life,2019,5.0
integrated screen,apple,repairable,2018,5.0
integrated screen,microsoft,repairable,2019,5.0
ports/slots/connectors,apple,repairable,2018,5.0
performance,unknown,repairable,2018,5.0
unknown,hp,fixed,2019,5.0
ports/slots/connectors,dell,fixed,2019,5.0
ports/slots/connectors,dell,fixed,2019,5.0
power/battery,apple,fixed,2019,5.0
internal damage,apple,end of life,2019,5.0
unknown,acer,fixed,2019,5.0
operating system,dell,repairable,2019,5.0
configuration,samsung,fixed,2019,5.0
unknown,hp,fixed,2020,5.0
virus/malware,lenovo,fixed,2020,5.0
unknown,apple,repairable,2017,5.0
integrated pointing device,apple,fixed,2019,5.0
unknown,unknown,fixed,2019,5.0
operating system,hp,fixed,2019,5.0
configuration,unknown,fixed,2019,5.0
integrated screen,acer,end of life,2019,5.0
power/battery,toshiba,repairable,2017,5.0
integrated keyboard,medion,repairable,2019,5.0
unknown,unknown,fixed,2018,5.0
unknown,acer,fixed,2018,5.0
unknown,medion,fixed,2018,5.0
power/battery,lenovo,unknown,2019,5.0
case/chassis,toshiba,fixed,2020,5.0
configuration,acer,fixed,2018,5.0
system board,lenovo,repairable,2020,5.0
performance,toshiba,fixed,2019,5.0
power/battery,fujitsu technology solutions,end of life,2018,5.0
unknown,acer,fixed,2018,5.0
performance,sony,fixed,2018,5.0
operating system,unknown,repairable,2019,5.0
other,acer,fixed,2018,5.0
integrated screen,toshiba,end of life,2019,5.0
unknown,dell,repairable,2018,5.0
unknown,hp,fixed,2017,5.0
configuration,acer,fixed,2018,5.0
power/battery,toshiba,end of life,2018,5.0
integrated screen,toshiba,fixed,2018,5.0
integrated screen,toshiba,fixed,2019,5.0
power/battery,acer,end of life,2018,5.0
performance,asus,fixed,2017,5.0
ports/slots/connectors,asus,fixed,2018,5.0
power/battery,acer,fixed,2019,5.0
boot,apple,repairable,2019,5.0
integrated screen,lenovo,unknown,2018,5.0
operating system,google asus,end of life,2019,5.0
power/battery,acer,fixed,2020,5.0
configuration,hp,fixed,2018,5.0
configuration,dell,repairable,2017,5.0
other,unknown,repairable,2019,5.0
unknown,e-machines,fixed,2017,5.0
configuration,unknown,repairable,2018,5.0
internal storage,hp,fixed,2017,5.0
power/battery,asus,repairable,2018,5.0
configuration,apple,fixed,2019,5.0
unknown,unknown,end of life,2019,5.0
internal damage,hp,end of life,2019,5.0
integrated screen,lenovo,unknown,2018,5.0
virus/malware,hp,repairable,2018,5.0
power/battery,lenovo,fixed,2019,5.0
power/battery,unknown,end of life,2018,5.0
unknown,goclever,fixed,2020,5.0
operating system,acer,end of life,2019,5.0
configuration,hp,repairable,2020,5.0
ports/slots/connectors,lenovo,repairable,2018,5.0
case/chassis,toshiba,fixed,2018,5.0
configuration,lenovo,fixed,2020,5.0
integrated optical drive,asus,fixed,2018,5.0
operating system,hp,fixed,2019,5.0
configuration,lenovo,fixed,2019,5.0
unknown,compaq,fixed,2017,5.0
boot,hp,repairable,2020,6.0
unknown,acer,fixed,2018,6.0
integrated optical drive,fujitsu,fixed,2020,6.0
system board,asus,repairable,2019,6.0
operating system,packard bell,fixed,2019,6.0
performance,hp,fixed,2019,6.0
unknown,apple,end of life,2017,6.0
internal damage,toshiba,end of life,2019,6.0
unknown,unknown,fixed,2019,6.0
unknown,packard bell,repairable,2018,6.0
unknown,apple,repairable,2017,6.0
internal damage,apple,fixed,2019,6.0
unknown,acer,fixed,2020,6.0
internal storage,sony,repairable,2019,6.0
unknown,dell,fixed,2018,6.0
performance,dell,fixed,2019,6.0
integrated pointing device,dell,repairable,2019,6.0
power/battery,apple,fixed,2017,6.0
operating system,acer,fixed,2019,6.0
operating system,hewlett-packard,repairable,2020,6.0
power/battery,hp,end of life,2020,6.0
power/battery,samsung,repairable,2019,6.0
configuration,toshiba,fixed,2020,6.0
overheating,hp,repairable,2020,6.0
internal storage,acer,fixed,2017,6.0
boot,sony,end of life,2018,6.0
internal storage,hp,fixed,2020,6.0
unknown,apple,repairable,2017,6.0
configuration,hp,fixed,2019,6.0
integrated screen,hp,repairable,2020,6.0
performance,packernell,fixed,2018,6.0
integrated keyboard,lenovo,repairable,2019,6.0
configuration,asus,fixed,2019,6.0
ports/slots/connectors,asus,repairable,2019,6.0
configuration,compaq,repairable,2019,6.0
operating system,lenovo,fixed,2019,6.0
operating system,acer,fixed,2019,6.0
integrated screen,sony,repairable,2019,6.0
integrated screen,lenovo,fixed,2018,6.0
overheating,hp,repairable,2018,6.0
system board,acer,fixed,2019,6.0
integrated media component,apple,repairable,2018,6.0
case/chassis,acer,fixed,2019,6.0
integrated screen,hp,repairable,2019,6.0
overheating,apple,fixed,2018,6.0
power/battery,lehovo,fixed,2019,6.0
ports/slots/connectors,asus,repairable,2018,6.0
performance,apple,repairable,2018,6.0
performance,hp,fixed,2018,6.0
performance,samsung,repairable,2018,6.0
overheating,toshiba,fixed,2019,6.0
unknown,toshiba,repairable,2019,6.0
integrated screen,toshiba,fixed,2019,6.0
power/battery,lenovo,end of life,2018,6.0
internal storage,ibm,fixed,2017,6.0
configuration,acer,fixed,2019,6.0
overheating,toshiba,fixed,2018,6.0
configuration,acer,repairable,2018,6.0
integrated keyboard,unknown,repairable,2019,6.0
unknown,dell,fixed,2018,6.0
unknown,asus,repairable,2020,6.0
power/battery,apple,fixed,2018,6.0
overheating,unknown,fixed,2019,6.0
integrated keyboard,samsung,fixed,2018,6.0
boot,unknown,repairable,2018,6.0
multiple,hp,end of life,2019,6.0
unknown,lenovo,repairable,2018,6.0
internal damage,apple,fixed,2019,6.0
unknown,dell,fixed,2020,6.0
configuration,sony,fixed,2018,6.0
power/battery,dell,fixed,2018,6.0
internal storage,samsung,end of life,2017,6.0
internal damage,apple,end of life,2018,6.0
performance,hp,fixed,2018,6.0
boot,hp,end of life,2019,7.0
integrated screen,toshiba,fixed,2019,7.0
performance,apple,repairable,2019,7.0
operating system,acer,end of life,2019,7.0
system board,hp,repairable,2019,7.0
power/battery,asus,fixed,2017,7.0
unknown,asus,fixed,2019,7.0
operating system,toshiba,fixed,2019,7.0
system board,asus,repairable,2017,7.0
unknown,toshiba,end of life,2019,7.0
unknown,lenovo,fixed,2019,7.0
configuration,asus,end of life,2019,7.0
operating system,asus,repairable,2019,7.0
case/chassis,hp,fixed,2019,7.0
operating system,asus,repairable,2019,7.0
operating system,lenovo,fixed,2015,7.0
unknown,toshiba,fixed,2019,7.0
power/battery,toshiba,repairable,2019,7.0
overheating,thinkpad,repairable,2019,7.0
power/battery,packard bell,end of life,2020,7.0
overheating,thinkpad,fixed,2019,7.0
integrated keyboard,apple,repairable,2019,7.0
performance,compaq,repairable,2019,7.0
integrated keyboard,apple,fixed,2019,7.0
performance,toshiba,repairable,2019,7.0
unknown,toshiba,repairable,2019,7.0
unknown,acer,fixed,2019,7.0
unknown,compaq,repairable,2019,7.0
performance,sony,repairable,2019,7.0
integrated screen,hewlett packard,end of life,2019,7.0
unknown,apple,repairable,2019,7.0
performance,lenovo,fixed,2019,7.0
ports/slots/connectors,samsung,fixed,2019,7.0
unknown,hp compaq,fixed,2018,7.0
boot,dell,fixed,2019,7.0
integrated keyboard,apple,repairable,2018,7.0
boot,apple,repairable,2019,7.0
power/battery,compaq,repairable,2019,7.0
unknown,asus,unknown,2018,7.0
internal storage,sony,end of life,2019,7.0
power/battery,unknown,fixed,2018,7.0
boot,lenovo,fixed,2019,7.0
unknown,thinkpad,end of life,2018,7.0
unknown,hp,fixed,2017,7.0
operating system,acer,repairable,2018,7.0
power/battery,dell,repairable,2019,7.0
performance,sony,fixed,2017,7.0
power/battery,hp,repairable,2019,7.0
configuration,asus,fixed,2020,7.0
unknown,packard bell,fixed,2018,7.0
operating system,samsung,fixed,2020,7.0
unknown,samsung,fixed,2018,7.0
operating system,toshiba,fixed,2017,7.0
ports/slots/connectors,hp,repairable,2018,7.0
boot,terras,end of life,2018,7.0
power/battery,apple,end of life,2018,7.0
power/battery,hp,repairable,2018,7.0
operating system,acer,fixed,2017,7.0
unknown,gompact,fixed,2018,7.0
unknown,hp,fixed,2018,7.0
configuration,hp,repairable,2020,7.0
unknown,medion,repairable,2019,7.0
unknown,asus,end of life,2017,7.0
power/battery,hp,repairable,2020,7.0
virus/malware,dell,repairable,2017,7.0
ports/slots/connectors,asus,fixed,2019,7.0
unknown,asus,fixed,2020,7.0
overheating,apple,fixed,2020,7.0
unknown,dell,fixed,2017,7.0
unknown,toshiba,fixed,2020,7.0
ports/slots/connectors,asus,repairable,2019,7.0
overheating,apple,fixed,2020,7.0
integrated screen,sony,repairable,2019,7.0
unknown,apple,end of life,2020,7.0
integrated pointing device,apple,fixed,2018,7.0
multiple,lenovo,fixed,2020,7.0
system board,apple,repairable,2019,7.0
ports/slots/connectors,sony,repairable,2019,7.0
power/battery,acer,fixed,2019,7.0
unknown,packard bell,fixed,2017,7.0
operating system,toshiba,fixed,2019,7.0
configuration,sony,fixed,2019,7.0
boot,asus,end of life,2018,8.0
operating system,asus,fixed,2019,8.0
overheating,hp,unknown,2018,8.0
boot,apple,repairable,2019,8.0
performance,samsung,fixed,2019,8.0
performance,dell,fixed,2018,8.0
operating system,toshiba,repairable,2019,8.0
power/battery,dell,end of life,2018,8.0
performance,samsung,fixed,2019,8.0
operating system,compaq,end of life,2019,8.0
integrated screen,toshiba,repairable,2018,8.0
system board,hp,fixed,2019,8.0
configuration,asus,fixed,2020,8.0
operating system,apple,repairable,2020,8.0
integrated screen,samsung,end of life,2020,8.0
boot,sony,repairable,2020,8.0
integrated optical drive,fujitsu technology solutions,repairable,2019,8.0
configuration,asus,end of life,2019,8.0
performance,sony,fixed,2018,8.0
integrated screen,hp,repairable,2018,8.0
unknown,apple,fixed,2020,8.0
internal storage,apple,unknown,2018,8.0
operating system,toshiba,repairable,2019,8.0
integrated media component,thinkpad,fixed,2020,8.0
operating system,compaq,fixed,2019,8.0
integrated screen,samsung,fixed,2019,8.0
overheating,sony,repairable,2020,8.0
system board,gateway,fixed,2018,8.0
power/battery,hp,repairable,2019,8.0
performance,dell,fixed,2018,8.0
overheating,lenovo,fixed,2019,8.0
power/battery,packard bell,fixed,2019,8.0
integrated screen,acer,repairable,2018,8.0
overheating,fujitsu,fixed,2019,8.0
case/chassis,dell,repairable,2019,8.0
operating system,asus,repairable,2018,8.0
power/battery,unknown,end of life,2018,8.0
unknown,fujitsu,fixed,2019,8.0
integrated keyboard,hp,repairable,2019,8.0
performance,acer,repairable,2019,8.0
unknown,hp,end of life,2019,8.0
overheating,compaq,fixed,2018,8.0
performance,packard bell,fixed,2018,8.0
configuration,compaq,fixed,2018,8.0
unknown,hp,repairable,2019,8.0
operating system,lenovo,fixed,2018,8.0
overheating,dell,fixed,2020,8.0
operating system,hp,fixed,2019,8.0
ports/slots/connectors,lenovo,fixed,2019,8.0
integrated media component,hp,fixed,2019,8.0
configuration,packard bell,fixed,2018,8.0
internal storage,acer,fixed,2019,8.0
configuration,acer,fixed,2018,8.0
power/battery,apple,end of life,2019,8.0
power/battery,apple,repairable,2018,8.0
internal storage,dell,end of life,2019,8.0
unknown,asus,repairable,2018,8.0
power/battery,asus,repairable,2019,8.0
unknown,packard bell,fixed,2019,8.0
internal damage,toshiba,repairable,2020,8.0
unknown,packard bell,fixed,2017,8.0
boot,hp,fixed,2019,8.0
unknown,acer,repairable,2018,8.0
performance,asus,repairable,2019,8.0
power/battery,apple,repairable,2019,8.0
performance,asos,fixed,2019,8.0
operating system,lenovo,repairable,2018,8.0
performance,apple,repairable,2019,8.0
integrated keyboard,lenovo,fixed,2019,9.0
integrated screen,acer,end of life,2017,9.0
case/chassis,apple,repairable,2019,9.0
unknown,medion,end of life,2019,9.0
unknown,hp,end of life,2019,9.0
operating system,toshiba,fixed,2019,9.0
power/battery,hp,repairable,2019,9.0
operating system,samsung,fixed,2019,9.0
operating system,apple,fixed,2017,9.0
performance,toshiba,repairable,2019,9.0
power/battery,hp,end of life,2020,9.0
overheating,apple,fixed,2018,9.0
power/battery,hp,repairable,2019,9.0
performance,acer,fixed,2018,9.0
boot,acer,end of life,2019,9.0
power/battery,apple,repairable,2019,9.0
configuration,asus,repairable,2019,9.0
internal storage,apple,fixed,2019,9.0
case/chassis,toshiba,repairable,2019,9.0
ports/slots/connectors,apple,repairable,2019,9.0
performance,acer,fixed,2019,9.0
unknown,dell,fixed,2019,9.0
operating system,acer,fixed,2018,9.0
boot,toshiba,fixed,2019,9.0
power/battery,asus,fixed,2019,9.0
operating system,samsung,fixed,2019,9.0
integrated screen,hp,repairable,2019,9.0
ports/slots/connectors,asus,fixed,2019,9.0
configuration,hp,unknown,2019,9.0
operating system,sony,repairable,2019,10.0
operating system,sony,fixed,2019,10.0
overheating,acer,fixed,2019,10.0
power/battery,siemens,end of life,2017,10.0
other,vaio,fixed,2019,10.0
ports/slots/connectors,lenovo,fixed,2019,10.0
power/battery,acer,end of life,2019,10.0
configuration,dell,fixed,2019,10.0
power/battery,toshiba,repairable,2018,10.0
unknown,compaq,repairable,2017,10.0
power/battery,microsoft,repairable,2020,10.0
operating system,packard bell,fixed,2020,10.0
boot,acer,fixed,2018,10.0
ports/slots/connectors,unknown,fixed,2018,10.0
integrated keyboard,hp,repairable,2019,10.0
integrated screen,dell,fixed,2018,10.0
integrated screen,toshiba,end of life,2019,10.0
integrated keyboard,lenovo,repairable,2019,10.0
power/battery,asus,repairable,2017,10.0
unknown,lg,fixed,2018,10.0
system board,packard bell,fixed,2020,10.0
power/battery,packard bell,end of life,2019,10.0
overheating,asus,fixed,2020,10.0
integrated screen,acer,repairable,2018,10.0
other,hp,fixed,2017,10.0
other,unknown,fixed,2019,10.0
boot,dell,fixed,2019,10.0
configuration,microsoft,repairable,2019,10.0
configuration,asus,repairable,2018,10.0
boot,dell,end of life,2019,10.0
unknown,acer,end of life,2017,10.0
overheating,medion akoya,end of life,2019,10.0
operating system,sony,fixed,2018,10.0
performance,packard bell,fixed,2020,10.0
internal storage,dell,fixed,2020,10.0
internal damage,hp,fixed,2019,10.0
integrated media component,apple,fixed,2019,10.0
overheating,apple,fixed,2019,10.0
power/battery,apple,end of life,2019,10.0
internal storage,toshiba,fixed,2019,10.0
power/battery,acer,fixed,2019,10.0
configuration,compaq,fixed,2019,10.0
operating system,toshiba,fixed,2020,10.0
power/battery,samsung,repairable,2019,10.0
unknown,toshiba,fixed,2019,10.0
integrated keyboard,lenovo,end of life,2019,10.0
operating system,hp,fixed,2020,10.0
unknown,apple,repairable,2019,10.0
