user_id,timestamp,ad_source,ad_version
U145580,2022-01-03 00:45:24 Monday,Google,A
U597754,2022-01-03 00:53:23 Monday,TikTok,B
U402704,2022-01-03 01:45:37 Monday,Meta,B
U422003,2022-01-03 01:57:41 Monday,Meta,B
U741278,2022-01-03 02:04:26 Monday,TikTok,A
U960979,2022-01-03 02:16:47 Monday,Meta,B
U647938,2022-01-03 02:18:32 Monday,Meta,A
U217051,2022-01-03 02:45:58 Monday,TikTok,A
U479485,2022-01-03 02:51:03 Monday,TikTok,B
U203324,2022-01-03 03:52:17 Monday,TikTok,B
U940307,2022-01-03 04:12:46 Monday,Google,A
U695803,2022-01-03 04:17:55 Monday,TikTok,A
U134724,2022-01-03 05:17:18 Monday,Meta,A
U535478,2022-01-03 05:35:12 Monday,Meta,A
U918411,2022-01-03 06:07:25 Monday,Meta,A
U230948,2022-01-03 07:22:02 Monday,Meta,A
U664250,2022-01-03 07:29:16 Monday,Google,B
U451259,2022-01-03 08:32:48 Monday,Meta,B
U990866,2022-01-03 09:08:33 Monday,Google,B
U809175,2022-01-03 09:57:36 Monday,Google,B
U406514,2022-01-03 11:42:39 Monday,TikTok,B
U692373,2022-01-03 11:46:37 Monday,TikTok,B
U775773,2022-01-03 12:03:52 Monday,Twitter,A
U894441,2022-01-03 12:06:00 Monday,Twitter,A
U778264,2022-01-03 14:28:55 Monday,Meta,B
U760502,2022-01-03 14:51:50 Monday,Google,B
U213727,2022-01-03 15:25:29 Monday,Google,A
U712101,2022-01-03 16:02:18 Monday,Meta,A
U200606,2022-01-03 18:02:56 Monday,Meta,A
U289979,2022-01-03 18:12:39 Monday,TikTok,A
U610349,2022-01-03 18:24:56 Monday,Twitter,B
U575164,2022-01-03 19:22:03 Monday,TikTok,A
U121236,2022-01-03 20:01:11 Monday,Meta,B
U410392,2022-01-03 21:07:59 Monday,Google,B
U464734,2022-01-03 21:55:31 Monday,Google,B
U163324,2022-01-03 23:00:13 Monday,TikTok,A
U866471,2022-01-03 23:14:16 Monday,Google,B
U792382,2022-01-03 23:25:17 Monday,Google,A
U790172,2022-01-03 23:47:23 Monday,Meta,A
U827433,2022-01-04 00:00:45 Tuesday,Meta,B
U953558,2022-01-04 00:18:24 Tuesday,TikTok,B
U524963,2022-01-04 00:18:51 Tuesday,TikTok,B
U853788,2022-01-04 00:52:58 Tuesday,Google,A
U584693,2022-01-04 01:05:53 Tuesday,Meta,B
U555130,2022-01-04 01:38:30 Tuesday,Meta,B
U212509,2022-01-04 01:43:44 Tuesday,TikTok,B
U719627,2022-01-04 01:48:41 Tuesday,Google,B
U663393,2022-01-04 02:28:51 Tuesday,TikTok,B
U343857,2022-01-04 02:54:18 Tuesday,Google,A
U738463,2022-01-04 04:57:21 Tuesday,Google,B
U331858,2022-01-04 05:18:44 Tuesday,TikTok,B
U314705,2022-01-04 06:09:32 Tuesday,Google,B
U128142,2022-01-04 07:32:42 Tuesday,Google,B
U830167,2022-01-04 07:55:39 Tuesday,TikTok,B
U160853,2022-01-04 08:25:25 Tuesday,TikTok,B
U901919,2022-01-04 09:05:16 Tuesday,Meta,A
U612749,2022-01-04 09:35:44 Tuesday,Meta,B
U557456,2022-01-04 09:43:23 Tuesday,TikTok,B
U797555,2022-01-04 10:02:16 Tuesday,TikTok,A
U466709,2022-01-04 10:03:58 Tuesday,Google,A
U977363,2022-01-04 10:17:10 Tuesday,Meta,B
U904606,2022-01-04 11:03:30 Tuesday,Meta,A
U824887,2022-01-04 11:04:43 Tuesday,TikTok,B
U367648,2022-01-04 11:17:30 Tuesday,TikTok,A
U632636,2022-01-04 12:10:02 Tuesday,Google,B
U726565,2022-01-04 12:27:40 Tuesday,Twitter,B
U541875,2022-01-04 12:31:14 Tuesday,Meta,B
U559086,2022-01-04 12:48:34 Tuesday,Google,B
U614098,2022-01-04 14:27:50 Tuesday,Google,A
U706859,2022-01-04 16:12:28 Tuesday,Google,B
U443905,2022-01-04 16:13:27 Tuesday,Google,B
U138622,2022-01-04 16:56:26 Tuesday,TikTok,A
U192452,2022-01-04 17:00:54 Tuesday,Google,B
U260195,2022-01-04 17:24:35 Tuesday,Meta,B
U276901,2022-01-04 17:44:45 Tuesday,TikTok,B
U771019,2022-01-04 18:41:21 Tuesday,Google,B
U821569,2022-01-04 18:47:28 Tuesday,Google,B
U197132,2022-01-04 19:03:12 Tuesday,Meta,B
U171523,2022-01-04 19:10:02 Tuesday,Google,A
U739985,2022-01-04 19:29:09 Tuesday,TikTok,A
U258213,2022-01-04 20:33:48 Tuesday,TikTok,B
U190775,2022-01-04 21:19:29 Tuesday,Meta,B
U290891,2022-01-04 22:05:32 Tuesday,Twitter,B
U555818,2022-01-04 22:17:22 Tuesday,Twitter,A
U258317,2022-01-05 00:13:08 Wednesday,Meta,B
U437904,2022-01-05 01:47:44 Wednesday,TikTok,B
U134188,2022-01-05 03:00:45 Wednesday,TikTok,B
U989849,2022-01-05 03:06:24 Wednesday,Google,B
U793876,2022-01-05 03:26:19 Wednesday,Google,B
U360155,2022-01-05 04:41:11 Wednesday,TikTok,A
U798335,2022-01-05 04:56:54 Wednesday,Meta,A
U635924,2022-01-05 05:17:44 Wednesday,Google,A
U731244,2022-01-05 05:40:12 Wednesday,Meta,B
U891139,2022-01-05 05:43:48 Wednesday,Google,B
U381950,2022-01-05 06:45:22 Wednesday,TikTok,A
U575312,2022-01-05 07:35:21 Wednesday,Google,A
U638978,2022-01-05 08:15:23 Wednesday,Twitter,B
U137067,2022-01-05 08:18:58 Wednesday,Google,B
U982171,2022-01-05 08:47:59 Wednesday,Meta,B
U845614,2022-01-05 09:04:03 Wednesday,Google,A
U371932,2022-01-05 10:41:07 Wednesday,TikTok,A
U372191,2022-01-05 11:06:11 Wednesday,Meta,A
U575297,2022-01-05 12:49:30 Wednesday,Meta,A
U943324,2022-01-05 13:26:42 Wednesday,Google,B
U789384,2022-01-05 14:00:22 Wednesday,TikTok,A
U978934,2022-01-05 14:13:54 Wednesday,Twitter,B
U511528,2022-01-05 15:03:40 Wednesday,Meta,B
U574764,2022-01-05 15:06:22 Wednesday,Twitter,B
U107627,2022-01-05 15:16:56 Wednesday,Meta,A
U184928,2022-01-05 15:33:48 Wednesday,TikTok,B
U744632,2022-01-05 17:42:10 Wednesday,TikTok,A
U487524,2022-01-05 18:29:21 Wednesday,Google,A
U431800,2022-01-05 19:15:55 Wednesday,Google,B
U285849,2022-01-05 19:35:47 Wednesday,TikTok,B
U400402,2022-01-05 20:41:37 Wednesday,Meta,B
U478304,2022-01-05 21:11:26 Wednesday,Google,A
U292767,2022-01-05 22:25:05 Wednesday,Google,B
U760687,2022-01-05 22:31:20 Wednesday,Meta,A
U466748,2022-01-05 22:34:23 Wednesday,Twitter,A
U302316,2022-01-05 23:03:35 Wednesday,Twitter,A
U548982,2022-01-06 00:04:04 Thursday,TikTok,B
U405854,2022-01-06 00:04:49 Thursday,Google,A
U808774,2022-01-06 02:33:36 Thursday,Twitter,A
U806359,2022-01-06 02:33:40 Thursday,Meta,B
U311378,2022-01-06 02:34:59 Thursday,Meta,B
U913577,2022-01-06 03:41:25 Thursday,Google,B
U788502,2022-01-06 04:39:55 Thursday,Meta,B
U669999,2022-01-06 05:19:21 Thursday,Google,A
U249594,2022-01-06 05:46:33 Thursday,TikTok,B
U759596,2022-01-06 06:25:34 Thursday,Meta,A
U451736,2022-01-06 07:02:42 Thursday,Google,A
U242070,2022-01-06 07:10:10 Thursday,Meta,A
U394258,2022-01-06 07:13:33 Thursday,Google,A
U244006,2022-01-06 07:27:46 Thursday,Meta,A
U634973,2022-01-06 07:33:32 Thursday,Google,B
U990082,2022-01-06 08:39:30 Thursday,Twitter,A
U895951,2022-01-06 09:04:49 Thursday,Meta,A
U488103,2022-01-06 09:59:10 Thursday,TikTok,B
U188395,2022-01-06 10:24:24 Thursday,Meta,B
U508513,2022-01-06 10:48:56 Thursday,TikTok,B
U886235,2022-01-06 11:27:13 Thursday,Twitter,B
U585496,2022-01-06 11:59:09 Thursday,Meta,B
U884277,2022-01-06 12:47:32 Thursday,Twitter,B
U970240,2022-01-06 13:09:29 Thursday,TikTok,B
U638388,2022-01-06 14:17:21 Thursday,Google,A
U509125,2022-01-06 14:30:39 Thursday,Google,B
U631349,2022-01-06 14:51:34 Thursday,Meta,B
U452842,2022-01-06 14:53:05 Thursday,Meta,B
U423794,2022-01-06 15:37:06 Thursday,Google,B
U779018,2022-01-06 15:37:47 Thursday,TikTok,A
U244108,2022-01-06 17:22:37 Thursday,Google,A
U995847,2022-01-06 17:38:56 Thursday,Meta,A
U730034,2022-01-06 17:52:24 Thursday,TikTok,A
U437200,2022-01-06 18:14:57 Thursday,Google,A
U408217,2022-01-06 18:52:29 Thursday,Google,A
U388150,2022-01-06 20:39:38 Thursday,Meta,B
U145193,2022-01-06 20:43:27 Thursday,Meta,A
U109359,2022-01-06 21:14:34 Thursday,Google,A
U555245,2022-01-06 22:03:22 Thursday,TikTok,A
U213704,2022-01-07 00:15:47 Friday,TikTok,A
U672556,2022-01-07 00:22:14 Friday,Google,A
U372141,2022-01-07 00:37:31 Friday,Google,A
U149694,2022-01-07 01:00:19 Friday,Meta,B
U155626,2022-01-07 01:11:04 Friday,Google,A
U277290,2022-01-07 01:30:27 Friday,Meta,A
U324783,2022-01-07 01:30:41 Friday,Meta,B
U842934,2022-01-07 03:20:22 Friday,Google,B
U170726,2022-01-07 04:12:50 Friday,Google,B
U815271,2022-01-07 04:20:40 Friday,Google,A
U701949,2022-01-07 04:31:07 Friday,TikTok,B
U141509,2022-01-07 04:39:19 Friday,Twitter,B
U718926,2022-01-07 05:40:37 Friday,Google,A
U541621,2022-01-07 05:40:44 Friday,TikTok,A
U399651,2022-01-07 06:05:36 Friday,Twitter,A
U726453,2022-01-07 07:47:36 Friday,Google,A
U718686,2022-01-07 08:26:11 Friday,Twitter,A
U983177,2022-01-07 10:07:23 Friday,TikTok,A
U963570,2022-01-07 10:09:10 Friday,Twitter,B
U252424,2022-01-07 10:54:50 Friday,Google,B
U942946,2022-01-07 13:10:07 Friday,TikTok,B
U183989,2022-01-07 13:10:32 Friday,Meta,A
U984571,2022-01-07 13:33:07 Friday,TikTok,B
U954913,2022-01-07 13:34:20 Friday,Twitter,B
U286917,2022-01-07 13:37:09 Friday,Meta,B
U361071,2022-01-07 13:41:21 Friday,TikTok,A
U261388,2022-01-07 14:10:51 Friday,Meta,B
U564631,2022-01-07 14:24:50 Friday,Twitter,A
U522457,2022-01-07 15:16:17 Friday,Google,B
U238484,2022-01-07 15:30:34 Friday,Meta,B
U108574,2022-01-07 16:14:39 Friday,Twitter,A
U296588,2022-01-07 17:23:27 Friday,Google,B
U327375,2022-01-07 17:43:20 Friday,Google,B
U592178,2022-01-07 17:52:10 Friday,TikTok,B
U400932,2022-01-07 18:11:44 Friday,Meta,B
U534933,2022-01-07 18:39:31 Friday,Google,B
U570006,2022-01-07 18:45:02 Friday,TikTok,B
U294921,2022-01-07 18:57:18 Friday,TikTok,B
U360429,2022-01-07 19:07:47 Friday,Google,B
U646532,2022-01-07 19:39:15 Friday,Google,A
U904690,2022-01-07 19:55:28 Friday,TikTok,B
U134990,2022-01-07 20:18:56 Friday,Google,B
U831739,2022-01-07 23:16:35 Friday,TikTok,A
U504637,2022-01-07 23:17:21 Friday,TikTok,B
U603627,2022-01-07 23:39:11 Friday,Google,A
U234879,2022-01-07 23:43:21 Friday,Twitter,A
U916671,2022-01-08 00:51:56 Saturday,Meta,B
U141839,2022-01-08 00:58:56 Saturday,Twitter,A
U523447,2022-01-08 01:03:49 Saturday,Meta,B
U472477,2022-01-08 01:32:11 Saturday,TikTok,B
U502137,2022-01-08 01:47:54 Saturday,Google,B
U692457,2022-01-08 01:57:11 Saturday,TikTok,A
U436366,2022-01-08 02:27:34 Saturday,Meta,A
U130138,2022-01-08 02:48:56 Saturday,Meta,A
U367750,2022-01-08 03:16:20 Saturday,Google,B
U753942,2022-01-08 03:38:12 Saturday,TikTok,B
U233834,2022-01-08 03:47:20 Saturday,Google,B
U360301,2022-01-08 04:21:25 Saturday,Twitter,A
U361193,2022-01-08 04:49:24 Saturday,TikTok,B
U872851,2022-01-08 04:50:15 Saturday,TikTok,A
U455719,2022-01-08 05:32:48 Saturday,Twitter,B
U222243,2022-01-08 06:02:43 Saturday,Meta,A
U557683,2022-01-08 06:29:56 Saturday,Meta,A
U274755,2022-01-08 07:01:10 Saturday,Meta,A
U140767,2022-01-08 07:07:16 Saturday,TikTok,B
U582491,2022-01-08 08:26:23 Saturday,Meta,B
U165111,2022-01-08 09:05:45 Saturday,Google,B
U451662,2022-01-08 10:20:09 Saturday,Twitter,A
U290728,2022-01-08 10:21:32 Saturday,TikTok,A
U238958,2022-01-08 10:37:48 Saturday,Google,B
U364144,2022-01-08 10:51:47 Saturday,TikTok,A
U883055,2022-01-08 11:14:13 Saturday,Meta,A
U767669,2022-01-08 13:00:47 Saturday,TikTok,B
U720952,2022-01-08 13:24:17 Saturday,TikTok,A
U481769,2022-01-08 13:29:25 Saturday,Twitter,B
U334907,2022-01-08 15:16:45 Saturday,Meta,A
U868968,2022-01-08 15:41:57 Saturday,TikTok,A
U613499,2022-01-08 16:23:18 Saturday,Google,B
U405137,2022-01-08 16:55:48 Saturday,Google,A
U916831,2022-01-08 17:18:40 Saturday,TikTok,A
U814429,2022-01-08 17:36:36 Saturday,Google,B
U716268,2022-01-08 18:00:31 Saturday,TikTok,B
U563153,2022-01-08 18:41:48 Saturday,TikTok,B
U492145,2022-01-08 18:48:27 Saturday,Meta,B
U469805,2022-01-08 19:18:32 Saturday,Meta,B
U775149,2022-01-08 19:22:48 Saturday,TikTok,B
U767065,2022-01-08 19:31:47 Saturday,Meta,A
U582205,2022-01-08 20:09:54 Saturday,Twitter,B
U951028,2022-01-08 20:31:04 Saturday,TikTok,B
U741953,2022-01-08 20:59:47 Saturday,TikTok,A
U417675,2022-01-08 21:08:59 Saturday,Meta,A
U148589,2022-01-08 21:10:07 Saturday,TikTok,A
U675644,2022-01-08 21:24:10 Saturday,TikTok,A
U430237,2022-01-08 21:25:36 Saturday,Meta,A
U267320,2022-01-08 21:37:18 Saturday,TikTok,A
U238267,2022-01-08 21:47:08 Saturday,Meta,B
U539482,2022-01-08 22:09:27 Saturday,TikTok,B
U839483,2022-01-09 00:02:39 Sunday,TikTok,B
U401642,2022-01-09 00:02:53 Sunday,Twitter,B
U451055,2022-01-09 00:13:30 Sunday,Google,A
U389323,2022-01-09 00:21:05 Sunday,Meta,B
U614378,2022-01-09 00:46:29 Sunday,TikTok,B
U565941,2022-01-09 00:48:53 Sunday,Google,B
U936247,2022-01-09 01:58:09 Sunday,TikTok,B
U945545,2022-01-09 02:21:44 Sunday,Google,B
U101079,2022-01-09 02:31:16 Sunday,Meta,A
U513929,2022-01-09 03:05:15 Sunday,TikTok,A
U523954,2022-01-09 03:14:47 Sunday,Twitter,B
U495084,2022-01-09 03:21:40 Sunday,TikTok,B
U832142,2022-01-09 04:34:56 Sunday,Google,B
U499427,2022-01-09 05:01:25 Sunday,Google,A
U389275,2022-01-09 05:06:18 Sunday,Google,B
U356051,2022-01-09 08:07:19 Sunday,Meta,B
U106918,2022-01-09 08:41:03 Sunday,Twitter,A
U434476,2022-01-09 09:39:06 Sunday,Google,A
U868471,2022-01-09 10:32:04 Sunday,Meta,B
U745579,2022-01-09 10:53:14 Sunday,TikTok,B
U960297,2022-01-09 10:56:22 Sunday,Meta,B
U758017,2022-01-09 11:08:02 Sunday,TikTok,B
U987219,2022-01-09 12:09:53 Sunday,TikTok,B
U818571,2022-01-09 12:31:12 Sunday,Google,B
U728729,2022-01-09 12:52:29 Sunday,Meta,B
U441049,2022-01-09 14:16:13 Sunday,TikTok,A
U449856,2022-01-09 14:32:31 Sunday,Google,B
U199389,2022-01-09 14:53:28 Sunday,Google,B
U275298,2022-01-09 14:55:35 Sunday,Google,A
U149184,2022-01-09 15:25:12 Sunday,TikTok,B
U609371,2022-01-09 15:36:16 Sunday,Google,B
U696076,2022-01-09 15:39:05 Sunday,Twitter,B
U824845,2022-01-09 16:16:14 Sunday,TikTok,A
U497455,2022-01-09 16:25:40 Sunday,TikTok,A
U556315,2022-01-09 16:45:52 Sunday,TikTok,B
U907460,2022-01-09 17:18:24 Sunday,Meta,B
U592540,2022-01-09 17:46:05 Sunday,Meta,B
U865356,2022-01-09 18:03:28 Sunday,Google,B
U921724,2022-01-09 18:04:50 Sunday,Google,B
U691164,2022-01-09 19:46:45 Sunday,Google,A
U138138,2022-01-09 20:03:48 Sunday,Meta,B
U295822,2022-01-09 23:04:43 Sunday,Google,A
U683105,2022-01-09 23:17:59 Sunday,Twitter,A
U380629,2022-01-09 23:21:02 Sunday,Meta,B
U222319,2022-01-09 23:58:18 Sunday,Meta,B
U383880,2022-01-09 23:59:23 Sunday,Google,A
U296594,2022-01-10 00:01:20 Monday,Twitter,B
U197580,2022-01-10 00:19:48 Monday,Twitter,A
U624751,2022-01-10 01:00:51 Monday,TikTok,B
U758185,2022-01-10 01:45:07 Monday,TikTok,B
U811864,2022-01-10 02:10:21 Monday,TikTok,A
U218952,2022-01-10 02:19:27 Monday,TikTok,A
U690871,2022-01-10 03:00:29 Monday,Google,A
U976278,2022-01-10 03:46:03 Monday,Meta,A
U283834,2022-01-10 03:57:06 Monday,Google,B
U542058,2022-01-10 04:54:42 Monday,Twitter,A
U736110,2022-01-10 05:01:39 Monday,Twitter,A
U427886,2022-01-10 05:22:38 Monday,Meta,A
U796387,2022-01-10 05:46:34 Monday,Twitter,A
U992608,2022-01-10 06:11:35 Monday,Meta,A
U547867,2022-01-10 07:20:27 Monday,Google,A
U398819,2022-01-10 07:45:40 Monday,Google,B
U985344,2022-01-10 08:18:50 Monday,Google,A
U748552,2022-01-10 08:51:08 Monday,Google,B
U166648,2022-01-10 11:43:38 Monday,Meta,A
U576064,2022-01-10 12:32:02 Monday,Google,A
U284180,2022-01-10 12:57:06 Monday,TikTok,B
U628083,2022-01-10 13:29:08 Monday,TikTok,A
U318323,2022-01-10 14:26:08 Monday,Twitter,A
U511792,2022-01-10 14:40:47 Monday,Google,B
U967561,2022-01-10 15:45:52 Monday,TikTok,A
U935706,2022-01-10 15:51:41 Monday,Meta,A
U810940,2022-01-10 16:54:01 Monday,Twitter,A
U119145,2022-01-10 17:22:47 Monday,Meta,B
U575482,2022-01-10 17:27:32 Monday,Twitter,B
U234290,2022-01-10 19:28:07 Monday,Google,B
U537012,2022-01-10 19:36:38 Monday,Meta,A
U426727,2022-01-10 20:21:49 Monday,Google,A
U532443,2022-01-10 20:27:26 Monday,Meta,B
U520477,2022-01-10 20:38:23 Monday,Meta,B
U194607,2022-01-10 20:48:42 Monday,Twitter,A
U328874,2022-01-10 23:31:52 Monday,Google,A
U156175,2022-01-10 23:53:58 Monday,Google,A
U785530,2022-01-11 00:04:02 Tuesday,Google,B
U543980,2022-01-11 00:06:12 Tuesday,Google,A
U938180,2022-01-11 01:32:07 Tuesday,Meta,B
U736583,2022-01-11 01:42:22 Tuesday,TikTok,B
U565288,2022-01-11 02:17:45 Tuesday,Google,B
U901168,2022-01-11 02:56:57 Tuesday,Meta,A
U302917,2022-01-11 06:23:09 Tuesday,Meta,B
U286497,2022-01-11 08:14:02 Tuesday,Google,B
U136875,2022-01-11 08:39:28 Tuesday,TikTok,B
U427189,2022-01-11 09:28:10 Tuesday,Google,B
U149874,2022-01-11 10:06:44 Tuesday,Meta,A
U779729,2022-01-11 12:29:08 Tuesday,Google,A
U180106,2022-01-11 13:00:29 Tuesday,Twitter,A
U614610,2022-01-11 13:16:48 Tuesday,Google,B
U593768,2022-01-11 14:03:24 Tuesday,Meta,B
U406753,2022-01-11 14:09:31 Tuesday,Meta,B
U697488,2022-01-11 14:33:33 Tuesday,Google,B
U725143,2022-01-11 14:56:25 Tuesday,Meta,A
U891661,2022-01-11 15:23:54 Tuesday,Twitter,A
U457411,2022-01-11 15:28:17 Tuesday,Meta,B
U280535,2022-01-11 15:34:02 Tuesday,TikTok,B
U826497,2022-01-11 15:50:51 Tuesday,Meta,B
U957375,2022-01-11 15:56:29 Tuesday,Google,B
U310321,2022-01-11 16:03:19 Tuesday,TikTok,A
U329483,2022-01-11 16:22:18 Tuesday,Twitter,A
U689814,2022-01-11 16:35:06 Tuesday,TikTok,B
U671733,2022-01-11 16:54:40 Tuesday,TikTok,B
U301657,2022-01-11 17:54:11 Tuesday,TikTok,A
U109970,2022-01-11 19:05:38 Tuesday,Meta,A
U951022,2022-01-11 21:30:15 Tuesday,TikTok,B
U718067,2022-01-11 22:56:26 Tuesday,Google,A
U658707,2022-01-11 23:15:21 Tuesday,TikTok,B
U331617,2022-01-11 23:41:48 Tuesday,Meta,B
U597671,2022-01-11 23:57:35 Tuesday,Meta,B
U128566,2022-01-12 01:06:30 Wednesday,TikTok,B
U745874,2022-01-12 01:29:10 Wednesday,Google,B
U951627,2022-01-12 01:56:23 Wednesday,Google,B
U539187,2022-01-12 02:34:14 Wednesday,Google,B
U860368,2022-01-12 04:02:31 Wednesday,TikTok,B
U882354,2022-01-12 04:07:31 Wednesday,Google,B
U515585,2022-01-12 04:10:11 Wednesday,Meta,A
U465071,2022-01-12 05:07:36 Wednesday,Google,A
U593015,2022-01-12 05:13:08 Wednesday,Google,B
U790065,2022-01-12 06:00:20 Wednesday,Meta,A
U663418,2022-01-12 07:11:15 Wednesday,Google,B
U255162,2022-01-12 07:38:30 Wednesday,Twitter,A
U672972,2022-01-12 08:13:57 Wednesday,Twitter,B
U340251,2022-01-12 09:56:45 Wednesday,Meta,B
U761674,2022-01-12 11:33:38 Wednesday,TikTok,B
U460420,2022-01-12 12:19:30 Wednesday,TikTok,B
U686490,2022-01-12 12:23:49 Wednesday,TikTok,B
U586135,2022-01-12 12:55:52 Wednesday,TikTok,B
U463574,2022-01-12 13:16:14 Wednesday,TikTok,B
U326006,2022-01-12 15:01:12 Wednesday,Twitter,A
U309474,2022-01-12 15:17:42 Wednesday,TikTok,A
U622582,2022-01-12 15:26:21 Wednesday,Twitter,A
U777928,2022-01-12 16:06:54 Wednesday,TikTok,A
U660953,2022-01-12 17:22:24 Wednesday,TikTok,B
U942381,2022-01-12 18:11:44 Wednesday,Twitter,A
U862037,2022-01-12 18:19:25 Wednesday,Meta,A
U395171,2022-01-12 18:26:53 Wednesday,Google,B
U427950,2022-01-12 18:31:14 Wednesday,Twitter,A
U604307,2022-01-12 18:38:53 Wednesday,Meta,B
U344237,2022-01-12 18:49:08 Wednesday,Google,B
U693994,2022-01-12 19:56:00 Wednesday,TikTok,A
U321066,2022-01-12 20:27:46 Wednesday,Google,A
U908796,2022-01-12 21:06:20 Wednesday,TikTok,B
U315775,2022-01-12 21:31:33 Wednesday,Google,B
U269389,2022-01-13 00:09:44 Thursday,Google,B
U776068,2022-01-13 00:16:57 Thursday,TikTok,B
U540038,2022-01-13 00:42:58 Thursday,Twitter,B
U760672,2022-01-13 01:29:27 Thursday,TikTok,B
U997768,2022-01-13 02:07:49 Thursday,Google,A
U505742,2022-01-13 02:23:03 Thursday,Twitter,B
U216256,2022-01-13 03:08:26 Thursday,Twitter,B
U671852,2022-01-13 03:20:57 Thursday,Meta,B
U728339,2022-01-13 04:18:17 Thursday,Meta,B
U990071,2022-01-13 04:57:35 Thursday,Meta,A
U354878,2022-01-13 05:55:30 Thursday,Google,B
